"Con.";"APPEZZAMENTO";"Lav.";"PARCELLA";"REPLICA";"variogramma";"ORDINE";"ORDINE.ANALISI";"cmc.SASSI";"scatola";"gr.TARA";"gr.105";"data.ammollo";"data.vagliatura";"data.pesatura";"Note";"presenza.pagliuzze";"coord.X";"coord.Y";"gr.TERRA.FINE";"cmc.TERRA.FINE.REALE";"cmc.TERRA.FINE.APPARENTE";"cmc.porosita";"poros.perc";"densita.apparente";"RIGA";"COLONNA";"SUB.PLOT";"App."
"OO";"1";"C";"3";"b";FALSE;69;-0.23;11;"23";360.08;1555;"24/12/15";"24/12/15";"31/12/15";"presenza legnetti";"poche";18;17.5;1194.92;450.91320754717;843.1;392.18679245283;0.46517233122148;1.41729332226308;"3";"2";"3.2";"DX"
"OO";"1";"B";"3";"b";FALSE;65;-0.89;25;"13";449;1679;"23/12/15";"24/12/15";"31/12/15";"presenza radici";"medie";6;17.5;1230;464.150943396226;829.1;364.949056603774;0.440174956704588;1.48353636473284;"3";"1";"3.1";"DX"
"OO";"3";"A";"3";"b";FALSE;62;-1.4;15;"9";370;1487;"23/12/15";"23/12/15";"31/12/15";"";"assenti";66;17.5;1117;421.509433962264;839.1;417.590566037736;0.497664838562431;1.33118817780956;"3";"3";"3.3";"SX"
"OO";"3";"C";"3";"b";FALSE;70;-1.39;45;"11";214;1419;"23/12/15";"23/12/15";"31/12/15";"";"tante";54;17.5;1205;454.716981132075;809.1;354.383018867925;0.437996562684371;1.48930910888642;"3";"2";"3.2";"SX"
"OO";"3";"B";"3";"b";FALSE;66;1.03;16;"14";359;1519;"29/12/15";"03/02/15";"16/02/16";"";"medie";42;17.5;1160;437.735849056604;838.1;400.364150943396;0.477704511327283;1.3840830449827;"3";"1";"3.1";"SX"
"CO";"9";"A";"3";"b";FALSE;63;-0.78;20;"20";267;1505;"23/12/15";"24/12/15";"31/12/15";"";"assenti";138;17.5;1238;467.169811320755;834.1;366.930188679245;0.439911507827893;1.48423450425608;"3";"3";"3.3";"DX"
"CO";"9";"C";"3";"b";FALSE;71;-0.88;22;"19";362.15;1466;"23/12/15";"24/12/15";"31/12/15";"";"tante";126;17.5;1103.85;416.547169811321;832.1;415.552830188679;0.499402511944092;1.32658334334816;"3";"2";"3.2";"DX"
"CO";"9";"B";"3";"b";FALSE;67;0.43;35;"31";359.25;1412;"24/12/15";"29/12/15";"16/02/16";"presenza osso";"tante";114;17.5;1052.75;397.264150943396;819.1;421.835849056604;0.514999205294352;1.28525210596997;"3";"1";"3.1";"DX"
"CO";"10";"C";"3";"b";FALSE;72;0.28;78;"30";362.6;1443;"24/12/15";"29/12/15";"16/02/16";"";"medie";162;17.5;1080.4;407.698113207547;776.1;368.401886792453;0.47468352891696;1.39208864837006;"3";"2";"3.2";"SX"
"CO";"10";"B";"3";"b";FALSE;68;1.01;33;"25";361.46;1629;"29/12/15";"03/02/15";"16/02/16";"";"poche";150;17.5;1267.54;478.316981132075;821.1;342.783018867925;0.417468053669376;1.54370965777615;"3";"1";"3.1";"SX"
"CO";"10";"A";"3";"5";TRUE;35;-0.42;67.5;NA;449;1449;"09/11/15";"09/11/15";"26/11/15";"sasso importante misurato a parte";"assenti";174;18.0944827586207;1000;377.358490566038;786.6;409.241509433962;0.520266348123522;1.27129417747267;"3";"3";"3.3";"SX"
"OO";"1";"A";"3";"AE";TRUE;26;98.92;9;"3";178;1563;"03/02/16";"05/02/16";"16-02-2016";"";"poche";30;16.7758620689655;1385;522.641509433962;845.1;322.458490566038;0.381562525814741;1.63885930659094;"3";"3";"3.3";"DX"
"OO";"1";"A";"2";"b";FALSE;49;0.02;4.5;"26";370.65;1601;"24/12/15";"28/12/15";"16/02/16";"";"poche";18;60.5;1230.35;464.283018867925;849.6;385.316981132076;0.453527520164872;1.44815207156309;"2";"2";"2.2";"DX"
"OO";"1";"C";"2";"b";FALSE;57;0.02;13;"27";359.94;1608;"24/12/15";"28/12/15";"16/02/16";"presenza radici";"medie";6;60.5;1248.06;470.966037735849;841.1;370.133962264151;0.440059401098741;1.48384258708834;"2";"1";"2.1";"DX"
"OO";"3";"A";"2";"b";FALSE;50;-0.54;8;"22";360.15;1565;"23/12/15";"24/12/15";"31/12/15";"";"assenti";54;60.5;1204.85;454.660377358491;846.1;391.439622641509;0.462639903842938;1.42400425481622;"2";"2";"2.2";"SX"
"OO";"3";"C";"2";"b";FALSE;58;2.57;19;"8";359;1363;"25/01/15";"03/02/15";"16/02/16";"";"medie";42;60.5;1004;378.867924528302;835.1;456.232075471698;0.546320291547956;1.20225122739792;"2";"1";"2.1";"SX"
"OO";"3";"B";"2";"b";FALSE;54;-0.99;27;"14";359;1529;"23/12/15";"23/12/15";"31/12/15";"";"tante";66;60.5;1170;441.509433962264;827.1;385.590566037736;0.466195824008869;1.4145810663765;"2";"3";"2.3";"SX"
"CO";"9";"A";"2";"b";FALSE;51;-0.48;21;"21";259.9;1322;"23/12/15";"24/12/15";"31/12/15";"";"tante";126;60.5;1062.1;400.792452830189;833.1;432.307547169811;0.518914352622508;1.27487696555035;"2";"2";"2.2";"DX"
"CO";"9";"C";"2";"b";FALSE;59;0.93;33;"22";360.15;1367;"29/12/15";"03/02/15";"16/02/16";"";"tante";114;60.5;1006.85;379.943396226415;821.1;441.156603773585;0.537275123338917;1.22622092315187;"2";"1";"2.1";"DX"
"CO";"9";"B";"2";"b";FALSE;55;-1.44;80;"12";360;1395;"23/12/15";"23/12/15";"31/12/15";"";"";138;60.5;1035;390.566037735849;774.1;383.533962264151;0.495457902421071;1.33703655858416;"2";"3";"2.3";"DX"
"CO";"10";"A";"2";"b";FALSE;52;-0.2;31;"25";361.46;1337;"24/12/15";"24/12/15";"31/12/15";"";"poche";162;60.5;975.54;368.128301886792;823.1;454.971698113208;0.552753855076185;1.18520228404811;"2";"2";"2.2";"SX"
"CO";"10";"C";"2";"b";FALSE;60;-1.64;41;"10";259;1375;"23/12/15";"23/12/15";"31/12/15";"";"tante";150;60.5;1116;421.132075471698;813.1;391.967924528302;0.482066073703483;1.37252490468577;"2";"1";"2.1";"SX"
