"TRT";"APPEZZAMENTO";"REPLICA";"ORDINE";"ORDINE.ANALISI";"cmc.SASSI";"scatola";"gr.TARA";"gr.105";"data.ammollo";"data.vagliatura";"data.pesatura";"Note";"presenza.pagliuzze";"gr.TERRA.FINE";"cmc.TERRA.FINE.REALE";"cmc.TERRA.FINE.APPARENTE";"cmc.porosita";"poros.perc";"densita.apparente"
"CO";10;"1";31;1,41;75;"";362,15;1343;"17/11/15";"17/11/15";"26/11/15";"";"poche";980,85;370,132075471698;779,1;408,967924528302;0,524923532958929;1,25895263765884
"CO";10;"2";32;1,01;60;"";267;1324;"17/11/15";"17/11/15";"26/11/15";"";"poche";1057;398,867924528302;794,1;395,232075471698;0,497710710832009;1,33106661629518
"CO";10;"3";33;-0,34;105;"";178;1080;"09/11/15";"16/11/15";"26/11/15";"";"assenti";902;340,377358490566;749,1;408,722641509434;0,545618263929294;1,20411160058737
"CO";10;"4";34;0,75;135;"";259;1082;"16/11/15";"17/11/15";"26/11/15";"";"";823;310,566037735849;719,1;408,533962264151;0,56811842895863;1,14448616325963
"CO";10;"5";35;-0,42;67,5;"";449;1449;"09/11/15";"09/11/15";"26/11/15";"sasso importante misurato a parte";"assenti";1000;377,358490566038;786,6;409,241509433962;0,520266348123522;1,27129417747267
"CO";10;"6";36;1,57;41;"";358,94;1344;"17/11/15";"17/11/15";"26/11/15";"";"assenti";985,06;371,720754716981;813,1;441,379245283019;0,542835131328273;1,21148690198008
"CO";10;"7";37;-0,77;50;"";359;1395;"04/11/15";"09/11/15";"26/11/15";"";"assenti";1036;390,943396226415;804,1;413,156603773585;0,513812465829604;1,28839696555155
"CO";10;"8";38;-0,75;95;"";360,98;1333;"09/11/15";"09/11/15";"30/11/15";"";"assenti";972,02;366,8;759,1;392,3;0,516796206033461;1,28049005401133
"CO";10;"9";39;0,81;170;"";360,15;1210;"16/11/15";"17/11/15";"26/11/15";"viottola 1";"poche";849,85;320,698113207547;684,1;363,401886792453;0,531211645654806;1,24228913901476
"CO";10;"10";40;-3,32;160;"";362;1138;"04/11/15";"04/11/15";"26/11/15";"viottola 2";"medie";776;292,830188679245;694,1;401,269811320755;0,578115273477532;1,11799452528454
"CO";10;"11";41;-0,76;115;"";370,65;1249;"09/11/15";"09/11/15";"26/11/15";"viottola 3";"poche";878,35;331,452830188679;739,1;407,647169811321;0,551545352200407;1,18840481666892
"CO";10;"12";42;-1,35;234;"";360;1199;"04/11/15";"04/11/15";"26/11/15";"presenza di sasso importante (misurato a parte)";"";839;316,603773584906;620,1;303,496226415094;0,489431102104651;1,35300757942267
"CO";10;"13";43;0,55;41;"";214;1163;"16/11/15";"16/11/15";"26/11/15";"";"poche";949;358,11320754717;813,1;454,98679245283;0,559570523247854;1,16713811339319
"CO";10;"14";44;0,3;45;"";487;1571;"16/11/15";"16/11/15";"26/11/15";"";"assenti";1084;409,056603773585;809,1;400,043396226415;0,494430102862953;1,33976022741318
"CO";10;"15";45;-1,61;25;"";361;1489;"04/11/15";"04/11/15";"26/11/15";"Sassi buttati prima di pesarli! Volume ottenuto per differenza";"";1128;425,660377358491;829,1;403,439622641509;0,486599472490061;1,36051139790134
"CO";10;"16";46;1,07;24;"";360,08;1550;"17/11/15";"17/11/15";"26/11/15";"";"poche";1189,92;449,02641509434;830,1;381,07358490566;0,459069491513866;1,43346584748825
"CO";10;"17";47;1,52;28;"";361,46;1510;"17/11/15";"17/11/15";"26/11/15";"presenza di legnetti";"poche ";1148,54;433,411320754717;826,1;392,688679245283;0,475352474573639;1,39031594237986
"CO";10;"18";48;1,01;45;"";359;1503;"17/11/15";"17/11/15";"26/11/15";"";"medie";1144;431,698113207547;809,1;377,401886792453;0,466446529220681;1,4139166975652
"CO";10;"19";49;1,1;23;"";361,16;1392;"17/11/15";"17/11/15";"26/11/15";"";"tante";1030,84;388,996226415094;831,1;442,103773584906;0,531950154716527;1,2403320900012
"CO";10;"20";50;0,41;16;"";259;1533;"16/11/15";"17/11/15";"26/11/15";"viottola 4";"poche";1274;480,754716981132;838,1;357,345283018868;0,426375471923241;1,52010499940341
"CO";10;"21";51;-0,04;65;"";181;1222;"16/11/15";"16/11/15";"26/11/15";"viottola 5";"poche";1041;392,830188679245;789,1;396,269811320755;0,502179459283684;1,31922443289824
"CO";10;"22";52;-0,05;32;"";103;1442;"16/11/15";"16/11/15";"26/11/15";"";"medie";1339;505,283018867925;822,1;316,816981132075;0,385375235533482;1,62875562583627
"CO";10;"23";53;-0,04;45;"";359,35;1442;"16/11/15";"16/11/15";"30/11/15";"possibile inversione con 24";"poche";1082,65;408,547169811321;809,1;400,552830188679;0,495059733269904;1,33809170683475
"CO";10;"24";54;0,23;38;"";262,2;1540;"16/11/15";"16/11/15";"30/11/15";"possibile inversione con 23";"medie";1277,8;482,188679245283;816,1;333,911320754717;0,409154908411613;1,56573949270923
"CO";10;"25";55;-0,17;30;"";360;1590;"16/11/15";"16/11/15";"26/11/15";"";"medie";1230;464,150943396226;824,1;359,949056603774;0,436778372289496;1,49253731343284
"CO";10;"26";56;0,35;50;"";196;1353;"16/11/15";"16/11/15";"30/11/15";"";"poche";1157;436,603773584906;804,1;367,496226415094;0,457028014444838;1,43887576172118
"CO";10;"27";57;-0,9;24;"";362;1652;"04/11/15";"09/11/15";"30/11/15";"";"medie";1290;486,792452830189;830,1;343,307547169811;0,413573722647646;1,55402963498374
"CO";10;"28";58;0,64;40;"";260;1437;"16/11/15";"17/11/15";"26/11/15";"";"";1177;444,150943396226;814,1;369,949056603774;0,454427044102412;1,44576833312861
"CO";10;"29";59;-0,62;29;"";259,9;1452;"09/11/15";"09/11/15";"30/11/15";"presenza di una radice importante è stata considerata come un vuoto";"poche";1192,1;449,849056603774;825,1;375,250943396226;0,454794501752789;1,44479457035511
"CO";10;"30";60;1;22;"";370;1608;"17/11/15";"17/11/15";"26/11/15";"";"poche";1238;467,169811320755;832,1;364,930188679245;0,438565303063629;1,48780194688138
