"APPEZZAMENTO";"PARCELLA";"LAVORAZIONE";"REPLICA";"RIGA";"COLONNA";"mPaSUM";"TRT"
"1";1;"Ara";"a";"1";"1";86,17;"BV"
"3";1;"Ara";"a";"1";"1";67,96;"BV"
"9";1;"Ara";"a";"1";"1";100,63;"CO"
"10";1;"Ara";"a";"1";"1";110,66;"CO"
"1";1;"Ara";"b";"1";"1";95,83;"BV"
"3";1;"Ara";"b";"1";"1";105,13;"BV"
"9";1;"Ara";"b";"1";"1";103,76;"CO"
"10";1;"Ara";"b";"1";"1";78,68;"CO"
"1";1;"Ara";"c";"1";"1";87,78;"BV"
"3";1;"Ara";"c";"1";"1";129,94;"BV"
"9";1;"Ara";"c";"1";"1";93,47;"CO"
"10";1;"Ara";"c";"1";"1";108,77;"CO"
"1";2;"Fzo";"a";"2";"1";90,94;"BV"
"3";2;"Fzo";"a";"2";"1";122,5;"BV"
"9";2;"Fzo";"a";"2";"1";120,35;"CO"
"10";2;"Fzo";"a";"2";"1";226,84;"CO"
"1";2;"Fzo";"b";"2";"1";96,16;"BV"
"3";2;"Fzo";"b";"2";"1";120,92;"BV"
"9";2;"Fzo";"b";"2";"1";122,03;"CO"
"10";2;"Fzo";"b";"2";"1";250,89;"CO"
"1";2;"Fzo";"c";"2";"1";132,3;"BV"
"3";2;"Fzo";"c";"2";"1";108,48;"BV"
"9";2;"Fzo";"c";"2";"1";103,57;"CO"
"10";2;"Fzo";"c";"2";"1";248,97;"CO"
"1";3;"Rip";"a";"3";"1";94,03;"BV"
"3";3;"Rip";"a";"3";"1";84,37;"BV"
"9";3;"Rip";"a";"3";"1";106,42;"CO"
"10";3;"Rip";"a";"3";"1";150,45;"CO"
"1";3;"Rip";"b";"3";"1";100,55;"BV"
"3";3;"Rip";"b";"3";"1";82,36;"BV"
"9";3;"Rip";"b";"3";"1";85,44;"CO"
"10";3;"Rip";"b";"3";"1";131,72;"CO"
"1";3;"Rip";"c";"3";"1";99,77;"BV"
"3";3;"Rip";"c";"3";"1";92,78;"BV"
"9";3;"Rip";"c";"3";"1";89,64;"CO"
"10";3;"Rip";"c";"3";"1";110,36;"CO"
"1";1;"Rip";"a";"1";"2";139,83;"BV"
"3";1;"Rip";"a";"1";"2";102,67;"BV"
"9";1;"Rip";"a";"1";"2";137,85;"CO"
"10";1;"Rip";"a";"1";"2";121,82;"CO"
"1";1;"Rip";"b";"1";"2";146,78;"BV"
"3";1;"Rip";"b";"1";"2";100,97;"BV"
"9";1;"Rip";"b";"1";"2";110,1;"CO"
"10";1;"Rip";"b";"1";"2";69,51;"CO"
"1";1;"Rip";"c";"1";"2";129,04;"BV"
"3";1;"Rip";"c";"1";"2";72,8;"BV"
"9";1;"Rip";"c";"1";"2";115,03;"CO"
"10";1;"Rip";"c";"1";"2";92,67;"CO"
"1";2;"Ara";"a";"2";"2";129,46;"BV"
"3";2;"Ara";"a";"2";"2";100,85;"BV"
"9";2;"Ara";"a";"2";"2";111,22;"CO"
"10";2;"Ara";"a";"2";"2";85,38;"CO"
"1";2;"Ara";"b";"2";"2";131,06;"BV"
"3";2;"Ara";"b";"2";"2";86,85;"BV"
"9";2;"Ara";"b";"2";"2";120,77;"CO"
"10";2;"Ara";"b";"2";"2";111,31;"CO"
"1";2;"Ara";"c";"2";"2";95,2;"BV"
"3";2;"Ara";"c";"2";"2";89,79;"BV"
"9";2;"Ara";"c";"2";"2";144,75;"CO"
"10";2;"Ara";"c";"2";"2";108,05;"CO"
"1";3;"Fzo";"a";"3";"2";159,12;"BV"
"3";3;"Fzo";"a";"3";"2";122,02;"BV"
"9";3;"Fzo";"a";"3";"2";137,51;"CO"
"10";3;"Fzo";"a";"3";"2";65,04;"CO"
"1";3;"Fzo";"b";"3";"2";162,68;"BV"
"3";3;"Fzo";"b";"3";"2";148,41;"BV"
"9";3;"Fzo";"b";"3";"2";142,87;"CO"
"10";3;"Fzo";"b";"3";"2";113,42;"CO"
"1";3;"Fzo";"c";"3";"2";133,56;"BV"
"3";3;"Fzo";"c";"3";"2";172,63;"BV"
"9";3;"Fzo";"c";"3";"2";169,43;"CO"
"10";3;"Fzo";"c";"3";"2";162,03;"CO"
"1";1;"Fzo";"a";"1";"3";139,22;"BV"
"3";1;"Fzo";"a";"1";"3";143,62;"BV"
"9";1;"Fzo";"a";"1";"3";117,63;"CO"
"10";1;"Fzo";"a";"1";"3";176,37;"CO"
"1";1;"Fzo";"b";"1";"3";149,51;"BV"
"3";1;"Fzo";"b";"1";"3";169,77;"BV"
"9";1;"Fzo";"b";"1";"3";102,44;"CO"
"10";1;"Fzo";"b";"1";"3";172,35;"CO"
"1";1;"Fzo";"c";"1";"3";168,87;"BV"
"3";1;"Fzo";"c";"1";"3";245,05;"BV"
"9";1;"Fzo";"c";"1";"3";149,38;"CO"
"10";1;"Fzo";"c";"1";"3";153,31;"CO"
"1";2;"Rip";"a";"2";"3";100,54;"BV"
"3";2;"Rip";"a";"2";"3";131,96;"BV"
"9";2;"Rip";"a";"2";"3";92,99;"CO"
"10";2;"Rip";"a";"2";"3";185,81;"CO"
"1";2;"Rip";"b";"2";"3";143,65;"BV"
"3";2;"Rip";"b";"2";"3";121,74;"BV"
"9";2;"Rip";"b";"2";"3";95,97;"CO"
