"TRT";"APPEZZAMENTO";"LAVORAZIONE";"PARCELLA";"REPLICA";"variogramma";"ORDINE";"ORDINE.ANALISI";"cmc.SASSI";"scatola";"gr.TARA";"gr.105";"data.ammollo";"data.vagliatura";"data.pesatura";"Note";"presenza.pagliuzze";"coord.X";"coord.Y";"gr.TERRA.FINE";"cmc.TERRA.FINE.REALE";"cmc.TERRA.FINE.APPARENTE";"cmc.porosita";"poros.perc";"densita.apparente"
"BV";1;"Ara";1;"a";FALSE;1;0,52;NA;NA;NA;NA;"";"";"";"";"";6;99,5;NA;NA;NA;NA;NA;NA
"BV";1;"Ara";1;"b";FALSE;37;1,32;17;23;360,08;1543;"25/01/15";"03/02/15";"16/02/16";"";"assenti";6;103,5;1182,92;446,384905660377;837,1;390,715094339623;0,466748410392573;1,41311671245968
"BV";1;"Ara";1;"c";FALSE;73;0,17;NA;NA;NA;NA;"";"";"";"";"";6;107,5;NA;NA;NA;NA;NA;NA
"BV";1;"Ara";2;"a";FALSE;13;-0,95;NA;NA;NA;NA;"";"";"";"";"";18;56,5;NA;NA;NA;NA;NA;NA
"BV";1;"Ara";2;"b";FALSE;49;0,02;4,5;26;370,65;1601;"24/12/15";"28/12/15";"16/02/16";"";"poche";18;60,5;1230,35;464,283018867925;849,6;385,316981132076;0,453527520164872;1,44815207156309
"BV";1;"Ara";2;"c";FALSE;85;0,39;NA;NA;NA;NA;"";"";"";"";"";18;64,5;NA;NA;NA;NA;NA;NA
"BV";1;"Ara";3;"a";TRUE;25;0,3;NA;NA;NA;NA;"";"";"";"";"";30;13,5;NA;NA;NA;NA;NA;NA
"BV";1;"Ara";3;"b";TRUE;61;1,38;NA;NA;NA;NA;"";"";"";"";"";30;17,5;NA;NA;NA;NA;NA;NA
"BV";1;"Ara";3;"c";TRUE;97;1,59;NA;NA;NA;NA;"";"";"";"";"";30;21,5;NA;NA;NA;NA;NA;NA
"BV";1;"Fzo";1;"a";TRUE;9;1;NA;NA;NA;NA;"";"";"";"";"";30;99,5;NA;NA;NA;NA;NA;NA
"BV";1;"Fzo";1;"b";TRUE;45;1;NA;NA;NA;NA;"";"";"";"";"";30;103,5;NA;NA;NA;NA;NA;NA
"BV";1;"Fzo";1;"c";TRUE;81;0,51;NA;NA;NA;NA;"";"";"";"";"";30;107,5;NA;NA;NA;NA;NA;NA
"BV";1;"Fzo";2;"a";FALSE;21;1,19;1,25;NA;NA;1630;"04/11/15";"04/11/15";"";"";"";6;56,5;NA;NA;852,85;NA;NA;NA
"BV";1;"Fzo";2;"b";FALSE;57;0,02;13;27;359,94;1608;"24/12/15";"28/12/15";"16/02/16";"presenza radici";"medie";6;60,5;1248,06;470,966037735849;841,1;370,133962264151;0,440059401098741;1,48384258708834
"BV";1;"Fzo";2;"c";FALSE;93;0,48;NA;NA;NA;NA;"";"";"";"";"";6;64,5;NA;NA;NA;NA;NA;NA
"BV";1;"Fzo";3;"a";FALSE;33;2,15;NA;NA;NA;NA;"";"";"";"";"";18;13,5;NA;NA;NA;NA;NA;NA
"BV";1;"Fzo";3;"b";FALSE;69;-0,23;11;23;360,08;1555;"24/12/15";"24/12/15";"31/12/15";"presenza legnetti";"poche";18;17,5;1194,92;450,91320754717;843,1;392,18679245283;0,46517233122148;1,41729332226308
"BV";1;"Fzo";3;"c";FALSE;105;-0,08;NA;NA;NA;NA;"";"";"";"";"";18;21,5;NA;NA;NA;NA;NA;NA
"BV";1;"Rip";1;"a";FALSE;5;0,71;NA;NA;NA;NA;"";"";"";"";"";18;99,5;NA;NA;NA;NA;NA;NA
"BV";1;"Rip";1;"b";FALSE;41;-1,86;28;7;362;1542;"23/12/15";"23/12/15";"31/12/15";"";"poche";18;103,5;1180;445,283018867925;826,1;380,816981132075;0,460981698501483;1,42839849897107
"BV";1;"Rip";1;"c";FALSE;77;-0,47;NA;NA;NA;NA;"";"";"";"";"";18;107,5;NA;NA;NA;NA;NA;NA
"BV";1;"Rip";2;"a";TRUE;17;1,27;NA;NA;NA;NA;"";"";"";"";"";30;56,5;NA;NA;NA;NA;NA;NA
"BV";1;"Rip";2;"b";TRUE;53;2,11;NA;NA;NA;NA;"";"";"";"";"";30;60,5;NA;NA;NA;NA;NA;NA
"BV";1;"Rip";2;"c";TRUE;89;-1,11;NA;NA;NA;NA;"";"";"";"";"";30;64,5;NA;NA;NA;NA;NA;NA
"BV";1;"Rip";3;"a";FALSE;29;-1;NA;NA;NA;NA;"";"";"";"";"";6;13,5;NA;NA;NA;NA;NA;NA
"BV";1;"Rip";3;"b";FALSE;65;-0,89;25;13;449;1679;"23/12/15";"24/12/15";"31/12/15";"presenza radici";"medie";6;17,5;1230;464,150943396226;829,1;364,949056603774;0,440174956704588;1,48353636473284
