"TRT";"APPEZZAMENTO";"LAVORAZIONE";"PARCELLA";"RIGA";"COLONNA";"subject"
"BV";"1";"Ara";"1";"1";"1";"BV.1.Ara.1"
"BV";"1";"Rip";"1";"1";"2";"BV.1.Rip.1"
"BV";"1";"Ara";"2";"2";"2";"BV.1.Ara.2"
"BV";"1";"Fzo";"2";"2";"1";"BV.1.Fzo.2"
"BV";"1";"Fzo";"3";"3";"2";"BV.1.Fzo.3"
"BV";"1";"Rip";"3";"3";"1";"BV.1.Rip.3"
"BV";"3";"Ara";"1";"1";"1";"BV.3.Ara.1"
"BV";"3";"Fzo";"1";"1";"3";"BV.3.Fzo.1"
"BV";"3";"Rip";"1";"1";"2";"BV.3.Rip.1"
"BV";"3";"Ara";"2";"2";"2";"BV.3.Ara.2"
"BV";"3";"Fzo";"2";"2";"1";"BV.3.Fzo.2"
"BV";"3";"Rip";"2";"2";"3";"BV.3.Rip.2"
"BV";"3";"Ara";"3";"3";"3";"BV.3.Ara.3"
"BV";"3";"Fzo";"3";"3";"2";"BV.3.Fzo.3"
"BV";"3";"Rip";"3";"3";"1";"BV.3.Rip.3"
"CO";"9";"Ara";"1";"1";"1";"CO.9.Ara.1"
"CO";"9";"Fzo";"1";"1";"3";"CO.9.Fzo.1"
"CO";"9";"Rip";"1";"1";"2";"CO.9.Rip.1"
"CO";"9";"Ara";"2";"2";"2";"CO.9.Ara.2"
"CO";"9";"Fzo";"2";"2";"1";"CO.9.Fzo.2"
"CO";"9";"Rip";"2";"2";"3";"CO.9.Rip.2"
"CO";"9";"Ara";"3";"3";"3";"CO.9.Ara.3"
"CO";"9";"Fzo";"3";"3";"2";"CO.9.Fzo.3"
"CO";"9";"Rip";"3";"3";"1";"CO.9.Rip.3"
"CO";"10";"Ara";"1";"1";"1";"CO.10.Ara.1"
"CO";"10";"Rip";"1";"1";"2";"CO.10.Rip.1"
"CO";"10";"Ara";"2";"2";"2";"CO.10.Ara.2"
"CO";"10";"Fzo";"2";"2";"1";"CO.10.Fzo.2"
"CO";"10";"Fzo";"3";"3";"2";"CO.10.Fzo.3"
"CO";"10";"Rip";"3";"3";"1";"CO.10.Rip.3"
"CO";"10";"Ara";"3";"3";"3";"CO.10.Ara.3"
"CO";"10";NA;NA;NA;"3";"CO.10.NA.NA"
"CO";"10";"Rip";"2";"2";"3";"CO.10.Rip.2"
"CO";"10";"Fzo";"1";"1";"3";"CO.10.Fzo.1"
"BV";"1";"Ara";"3";"3";"3";"BV.1.Ara.3"
"BV";"1";NA;NA;NA;"3";"BV.1.NA.NA"
"BV";"1";"Rip";"2";"2";"3";"BV.1.Rip.2"
"BV";"1";"Fzo";"1";"1";"3";"BV.1.Fzo.1"
