Autore;;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15
Manegold (1957);;5000;;;;100;;;30;;;;;;;0,002
Jongerius (1957);;5000;;;;100;;;30;;;;;;;0,002
Johnson et al (1960);;5000;2000;1000;;;75;;;;;;;;;
Brewer (1964);;5000;2000;1000;;;75;;30;;5;;;0,1;;
IUPAC (1972);;5000;;;;;;;;;;;;0,1;0,005;
McIntyre (1974);;5000;;;500;;;50;;;;;;0,1;;
Smart (1975);;5000;;;;100;;;30;;;;;;;
Kay (1997);;;;;;;;;30;;;;0,2;;;
Soil Survey Division (1990);10000;5000;2000;1000;500;;;;;;;;;;;
Greenland (1977);;;;;500;;;50;;;;0,5;;;0,005;
Luxmoore (1981);;;;1000;;;;;;10;;;;;;
