"YEAR";"TRT";"APPEZZAMENTO";"PARCELLA";"LAVORAZIONE";"REPLICA";"densita.apparente";"densita.clod";"Diam.Medio.Pori";"Diam.Medio.Aggr.Dry";"Diam.Medio.Aggr.Wet";"Nitrogen";"Carbon";"Nitrogen_HCl";"Carbon_HCl"
"1";"y15";"CO";10;1;"Ara";"m";1.49788217173662;NA;NA;NA;NA;NA;NA;NA;NA
"2";"y15";"CO";10;1;"Rip";"m";1.3243922883487;NA;NA;NA;NA;NA;NA;NA;NA
"3";"y15";"CO";10;2;"Ara";"m";1.18520228404811;NA;NA;NA;NA;NA;NA;NA;NA
"4";"y15";"CO";10;2;"Fzo";"m";1.37252490468577;NA;NA;NA;NA;NA;NA;NA;NA
"5";"y15";"CO";10;3;"Fzo";"m";1.39208864837006;NA;NA;NA;NA;NA;NA;NA;NA
"6";"y15";"CO";10;3;"Fzo";"m";1.39208864837006;NA;NA;NA;NA;NA;NA;NA;NA
"7";"y15";"CO";10;3;"Rip";"m";1.54370965777615;NA;NA;NA;NA;NA;NA;NA;NA
"8";"y15";"CO";9;1;"Ara";"m";1.32031348754898;NA;NA;NA;NA;NA;NA;NA;NA
"9";"y15";"CO";9;1;"Fzo";"m";1.36545212444014;NA;NA;NA;NA;NA;NA;NA;NA
"10";"y15";"CO";9;1;"Rip";"m";1.40375110885819;NA;NA;NA;NA;NA;NA;NA;NA
"11";"y15";"CO";9;2;"Ara";"m";1.27487696555035;NA;NA;NA;NA;NA;NA;NA;NA
"12";"y15";"CO";9;2;"Fzo";"m";1.22622092315187;NA;NA;NA;NA;NA;NA;NA;NA
"13";"y15";"CO";9;2;"Rip";"m";1.33703655858416;NA;NA;NA;NA;NA;NA;NA;NA
"14";"y15";"CO";9;3;"Ara";"m";1.48423450425608;NA;NA;NA;NA;NA;NA;NA;NA
"15";"y15";"CO";9;3;"Fzo";"m";1.32658334334816;NA;NA;NA;NA;NA;NA;NA;NA
"16";"y15";"CO";9;3;"Rip";"m";1.28525210596997;NA;NA;NA;NA;NA;NA;NA;NA
"17";"y15";"OO";1;1;"Ara";"m";1.41311671245968;NA;NA;NA;NA;NA;NA;NA;NA
"18";"y15";"OO";1;1;"Rip";"m";1.42839849897107;NA;NA;NA;NA;NA;NA;NA;NA
"19";"y15";"OO";1;2;"Ara";"m";1.44815207156309;NA;NA;NA;NA;NA;NA;NA;NA
"20";"y15";"OO";1;2;"Fzo";"m";1.48384258708834;NA;NA;NA;NA;NA;NA;NA;NA
"21";"y15";"OO";1;3;"Fzo";"m";1.41729332226308;NA;NA;NA;NA;NA;NA;NA;NA
"22";"y15";"OO";1;3;"Rip";"m";1.48353636473284;NA;NA;NA;NA;NA;NA;NA;NA
"23";"y15";"OO";3;1;"Ara";"m";1.28745670832706;NA;NA;NA;NA;NA;NA;NA;NA
"24";"y15";"OO";3;1;"Fzo";"m";1.52265375988667;NA;NA;NA;NA;NA;NA;NA;NA
"25";"y15";"OO";3;1;"Rip";"m";1.45027536409252;NA;NA;NA;NA;NA;NA;NA;NA
"26";"y15";"OO";3;2;"Ara";"m";1.42400425481622;NA;NA;NA;NA;NA;NA;NA;NA
"27";"y15";"OO";3;2;"Fzo";"m";1.20225122739792;NA;NA;NA;NA;NA;NA;NA;NA
"28";"y15";"OO";3;2;"Rip";"m";1.4145810663765;NA;NA;NA;NA;NA;NA;NA;NA
"29";"y15";"OO";3;3;"Ara";"m";1.33118817780956;NA;NA;NA;NA;NA;NA;NA;NA
"30";"y15";"OO";3;3;"Fzo";"m";1.48930910888642;NA;NA;NA;NA;NA;NA;NA;NA
"31";"y15";"OO";3;3;"Rip";"m";1.3840830449827;NA;NA;NA;NA;NA;NA;NA;NA
"32";"y16";"CO";10;1;"Ara";"m";1.50113080000994;1.90303882017638;NA;165.903;226.388;0.127377443;3.006491542;0.1105233875;0.7032859625
"33";"y16";"CO";10;1;"Fzo";"m";1.1269572155181;1.8604958559219;NA;298.2;337.579;0.134986777;3.5220746995;0.1188627185;0.8774815205
"34";"y16";"CO";10;1;"Rip";"m";NA;1.93384301168887;NA;211.393;299.703;0.135650456;3.4820554255;0.1182867105;0.811801046
"35";"y16";"CO";10;2;"Ara";"m";1.26161601872452;1.92484458396255;7.03334203988451;209.429;294.777;0.1344758795;4.2400400635;0.0916490405;0.689078033
"36";"y16";"CO";10;2;"Fzo";"m";1.34697723867975;1.9018817557248;1.25385233059146;169.33;326.471;0.1348110775;4.1480576995;0.128604442;0.887919158
"37";"y16";"CO";10;2;"Rip";"m";1.11220069787029;1.91854689482845;10.2760772902028;321.662;409.674;0.141784422;4.4873013495;0.1154191905;0.755185664
"38";"y16";"CO";10;3;"Ara";"m";1.34901712279034;1.95136931060519;NA;350.934;250.26;0.1474693195;4.2903442385;0.1232122225;0.8529361785
"39";"y16";"CO";10;3;"Fzo";"m";1.58263072376249;1.88933671617959;NA;251.904;391.559;0.1469465495;4.182791233;0.109024402;0.828378886
"40";"y16";"CO";10;3;"Fzo";"m";1.58263072376249;1.88933671617959;NA;251.904;68.615;0.1469465495;4.182791233;0.109024402;0.828378886
"41";"y16";"CO";10;3;"Rip";"m";1.28420711732247;1.93425824153987;NA;245.638;571.987;0.128549654;4.0635654925;0.1101720145;0.781138092
"42";"y16";"CO";9;1;"Ara";"m";1.18392325062466;1.90956964407381;NA;207.653;276.743;0.1353722365;2.9271644355;0.09232793;0.770821154
"43";"y16";"CO";9;1;"Fzo";"m";1.33801700269555;1.90183303424388;NA;145.835;215.598;0.1297003105;2.7603548765;0.109676916;0.7605624795
"44";"y16";"CO";9;1;"Rip";"m";1.33862241036136;1.82196281777904;NA;138.962;434.714;0.134703316;3.0153388975;0.104734078;0.8256181475
"45";"y16";"CO";9;2;"Ara";"m";1.32733251925379;1.92541171507945;3.83322472902922;265.123;486.882;0.127855111;3.77225399;0.102960046;0.740015596
"46";"y16";"CO";9;2;"Fzo";"m";1.29842061512884;1.85160389002277;5.70156875855533;181.216;238.475;0.1197541245;3.638853073;0.099689368;0.7630622685
"47";"y16";"CO";9;2;"Rip";"m";1.24661042482675;1.88666100294885;5.42212743461324;246.316;329.951;0.1147746705;3.9181708095;0.09501661;0.747056156
"48";"y16";"CO";9;3;"Ara";"m";1.63081360413412;1.96732701081579;NA;234.93;187.259;0.136593118;3.6479979755;0.1133516505;0.754591465
"49";"y16";"CO";9;3;"Fzo";"m";1.38233537939764;1.90929832711962;NA;191.299;239.713;0.1474950685;3.686945915;0.126402594;0.8115216495
"50";"y16";"CO";9;3;"Rip";"m";1.29542915547527;1.87996171858883;NA;130.824;188.375;0.1322590855;3.639551759;0.1125928725;0.8047015075
