"";"APPEZZAMENTO";"LAV";"RIGA.CAMPO";"REPLICA";"COND";"SUBJECT";"Sample.Name";"Sample.quantity";"Stirrer.speed";"Ultrasonic.level";"HUMIDITY";"NOMI.RIGA";"d.1";"d.5";"d.9";"D..4..3....Volume.weighted.mean";"TIME";"X0.020000";"X0.022440";"X0.025179";"X0.028251";"X0.031698";"X0.035566";"X0.039905";"X0.044774";"X0.050238";"X0.056368";"X0.063246";"X0.070963";"X0.079621";"X0.089337";"X0.100237";"X0.112468";"X0.126191";"X0.141589";"X0.158866";"X0.178250";"X0.200000";"X0.224404";"X0.251785";"X0.282508";"X0.316979";"X0.355656";"X0.399052";"X0.447744";"X0.502377";"X0.563677";"X0.632456";"X0.709627";"X0.796214";"X0.893367";"X1.002374";"X1.124683";"X1.261915";"X1.415892";"X1.588656";"X1.782502";"X2.000000";"X2.244037";"X2.517851";"X2.825075";"X3.169786";"X3.556559";"X3.990525";"X4.477442";"X5.023773";"X5.636766";"X6.324555";"X7.096268";"X7.962143";"X8.933672";"X10.023745";"X11.246826";"X12.619147";"X14.158916";"X15.886565";"X17.825019";"X20.000000";"X22.440369";"X25.178508";"X28.250751";"X31.697864";"X35.565588";"X39.905246";"X44.774423";"X50.237729";"X56.367659";"X63.245553";"X70.962678";"X79.621434";"X89.336718";"X100.237447";"X112.468265";"X126.191469";"X141.589157";"X158.865647";"X178.250188";"X200.000000";"X224.403691";"X251.785082";"X282.507509";"X316.978638";"X355.655882";"X399.052463";"X447.744228";"X502.377286";"X563.676586";"X632.455532";"X709.626778";"X796.214341";"X893.367184";"X1002.374467";"X1124.682650";"X1261.914689";"X1415.891569";"X1588.656469";"X1782.501876";"X2000.000000"
"1";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"1";23670;100251;299399;136589;1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.052824;0.072449;0.083748;0.092026;0.098761;0.103551;0.107622;0.112485;0.118519;0.126365;0.135735;0.146489;0.158211;0.170591;0.183802;0.197571;0.212618;0.228712;0.246795;0.267102;0.290334;0.317286;0.348008;0.38399;0.424384;0.471225;0.524163;0.585608;0.6578;0.743652;0.85002;0.979753;1.144614;1.345562;1.594077;1.890393;2.235295;2.627661;3.049314;3.497322;3.933096;4.347328;4.702106;4.978873;5.156253;5.222636;5.175016;5.023224;4.777232;4.464945;4.100678;3.709838;3.308383;2.905729;2.52068;2.1477;1.806489;1.485736;1.19535;0.932147;0.673154;0.407738;0.149234;0;0;0;0;0;0;0;0
"2";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"2";19615;93712;267038;126699;2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.061594;0.079587;0.096224;0.106507;0.11519;0.122092;0.128419;0.135619;0.144152;0.154746;0.167041;0.18094;0.195972;0.211768;0.2285;0.245728;0.264235;0.283626;0.304973;0.328539;0.355192;0.385932;0.420919;0.461924;0.507996;0.561401;0.621555;0.690802;0.770997;0.864451;0.97733;1.111314;1.277268;1.475263;1.716337;2.001162;2.331827;2.709342;3.118938;3.560935;3.999718;4.427177;4.803804;5.106555;5.306652;5.383907;5.326954;5.140359;4.831741;4.434904;3.970478;3.476566;2.980113;2.499146;2.06058;1.661339;1.323054;1.034769;0.802121;0.614361;0.465305;0.345054;0.245777;0.167969;0.080431;0.034827;0;0;0;0;0
"3";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"3";17506;88771;257536;118856;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.065946;0.085405;0.103743;0.115378;0.125492;0.133813;0.141559;0.150258;0.160317;0.17252;0.186449;0.20203;0.218785;0.236357;0.25499;0.274241;0.295028;0.316931;0.341144;0.367899;0.398051;0.432515;0.471195;0.515728;0.564803;0.620627;0.68254;0.753193;0.835;0.931108;1.048872;1.190886;1.36908;1.58321;1.843857;2.149239;2.498241;2.887792;3.298477;3.726431;4.134346;4.513155;4.827345;5.059169;5.188177;5.203489;5.10085;4.891613;4.584265;4.210588;3.786224;3.341303;2.894947;2.458723;2.053481;1.673836;1.338398;1.038647;0.779916;0.550565;0.389788;0.184364;0.047683;0;0;0;0;0;0;0;0
"4";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"4";15285;83756;252632;116218;4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.071637;0.092962;0.113377;0.126593;0.138328;0.148215;0.157527;0.167925;0.179809;0.194076;0.210271;0.228361;0.247838;0.268302;0.290011;0.312398;0.336444;0.36155;0.388949;0.41875;0.451773;0.488914;0.530052;0.577013;0.628629;0.687555;0.753502;0.829664;0.918895;1.024603;1.154477;1.310455;1.504143;1.733315;2.006845;2.320023;2.669089;3.048354;3.437014;3.829933;4.192451;4.516864;4.773355;4.948589;5.027293;5.002675;4.871892;4.646841;4.333241;3.959945;3.539177;3.098972;2.658971;2.2335;1.84664;1.496759;1.202637;0.952079;0.746996;0.575835;0.425668;0.310459;0.196738;0.068754;0.016096;0;0;0;0;0;0
"5";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"5";14265;83280;283483;125270;5;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.073953;0.096151;0.117717;0.131937;0.144801;0.155856;0.166358;0.178011;0.191165;0.206774;0.224355;0.243914;0.264943;0.287038;0.310473;0.334606;0.360438;0.387243;0.416236;0.447424;0.481578;0.519561;0.561264;0.60861;0.660549;0.719924;0.78662;0.863971;0.954825;1.062389;1.193926;1.350607;1.543147;1.768407;2.034329;2.335773;2.668934;3.028312;3.394251;3.761718;4.097764;4.394224;4.622194;4.767875;4.816338;4.762043;4.603689;4.35749;4.032924;3.663831;3.266357;2.87073;2.495443;2.151439;1.853862;1.594876;1.380319;1.193881;1.029986;0.874467;0.723033;0.568531;0.417997;0.291089;0.100825;0.030702;0;0;0;0;0
"6";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"6";12800;77667;268782;119500;6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.079103;0.10297;0.126375;0.142;0.156316;0.168792;0.180718;0.193896;0.208624;0.22591;0.245195;0.266506;0.289328;0.313288;0.338761;0.365109;0.393457;0.422993;0.454989;0.489363;0.526869;0.568346;0.613543;0.664369;0.719517;0.781843;0.851147;0.930981;1.024536;1.135525;1.272001;1.435736;1.638389;1.876875;2.159414;2.479795;2.832577;3.209869;3.588457;3.959956;4.28816;4.562533;4.75391;4.849356;4.836786;4.715207;4.48657;4.17426;3.790336;3.375031;2.94652;2.537853;2.167575;1.845655;1.583865;1.371689;1.208136;1.073313;0.95542;0.83725;0.712336;0.57564;0.43552;0.310384;0.126438;0.046814;0;0;0;0;0
"7";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"7";11369;73085;244397;115464;7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008479;0.052996;0.085015;0.109161;0.135187;0.152632;0.168544;0.182582;0.196051;0.210821;0.227192;0.246267;0.267469;0.290884;0.315994;0.342419;0.370573;0.399738;0.431135;0.463824;0.499145;0.536896;0.577768;0.622511;0.670717;0.724335;0.782008;0.846872;0.91901;1.002544;1.101251;1.219352;1.365421;1.540835;1.756985;2.008969;2.303348;2.631157;2.984548;3.353391;3.713523;4.056026;4.34759;4.579581;4.728142;4.784468;4.741062;4.600324;4.365581;4.059392;3.690474;3.293031;2.878756;2.47345;2.090964;1.739224;1.432961;1.16669;0.952028;0.778947;0.647317;0.545941;0.466389;0.400594;0.340454;0.284394;0.228368;0.17772;0.129035;0.088538;0.061405;0.034462;0.019143
"8";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"8";10200;68282;214994;99326;8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009026;0.05646;0.090687;0.116593;0.144755;0.163866;0.181519;0.197304;0.212556;0.229246;0.247606;0.268796;0.292142;0.317741;0.345052;0.373709;0.404219;0.435853;0.469967;0.505543;0.544008;0.585088;0.629467;0.677883;0.729833;0.787359;0.848964;0.917962;0.994412;1.08267;1.186711;1.31095;1.464299;1.647988;1.873579;2.135458;2.439777;2.776418;3.136435;3.508498;3.867321;4.203049;4.482283;4.696094;4.821614;4.850699;4.777029;4.604504;4.337037;3.999435;3.600491;3.176646;2.740104;2.318483;1.926745;1.573447;1.272783;1.017323;0.814192;0.649093;0.51802;0.409113;0.317503;0.240637;0.176901;0.129353;0.091177;0.048524;0;0;0;0;0
"9";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"9";9677;66531;225113;98714;9;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009255;0.057937;0.093151;0.119876;0.149111;0.169114;0.187745;0.204539;0.220826;0.238621;0.258103;0.280462;0.304967;0.331724;0.360175;0.389962;0.421648;0.454526;0.490064;0.527247;0.567571;0.610689;0.657198;0.707694;0.761445;0.820358;0.882756;0.951931;1.027998;1.115544;1.218935;1.343103;1.497566;1.683985;1.91422;2.182266;2.493614;2.836556;3.200228;3.570987;3.921318;4.238961;4.490075;4.664776;4.742659;4.718579;4.59186;4.373449;4.073623;3.72428;3.337775;2.950975;2.574034;2.227709;1.918482;1.646775;1.416419;1.214382;1.043548;0.881857;0.717085;0.547785;0.402199;0.19921;0.068487;0;0;0;0;0;0;0;0
"10";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"10";8983;63399;214323;95490;10;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011876;0.058442;0.095118;0.130016;0.154633;0.178539;0.198067;0.21606;0.233758;0.252877;0.273814;0.297775;0.324011;0.35267;0.383164;0.415091;0.448993;0.484028;0.521663;0.560745;0.602827;0.647604;0.695822;0.748278;0.804406;0.866372;0.932487;1.006202;1.087455;1.180796;1.290405;1.420986;1.581971;1.774581;2.010569;2.283286;2.597805;2.941653;3.303278;3.668299;4.008844;4.312067;4.54486;4.697223;4.750076;4.698756;4.54337;4.295748;3.966193;3.588298;3.174545;2.764436;2.369686;2.013926;1.705397;1.44497;1.234951;1.06071;0.918326;0.79031;0.669672;0.546838;0.412278;0.292479;0.159619;0;0;0;0;0;0;0;0
