"YEAR" "TRT" "APPEZZAMENTO" "PARCELLA" "LAVORAZIONE" "REPLICA" "densita.apparente"
"1" "y16" "OO" "2" "1" "Ara" "m" 1.28646078466867
"2" "y16" "CO" "9" "2" "Rip" "m" 1.24661042482675
"3" "y16" "OO" "4" "1" "Fzo" "m" 1.38055222088836
"4" "y16" "CO" "10" "3" "Rip" "m" 1.28420711732247
"5" "y16" "CO" "9" "3" "Rip" "m" 1.29542915547527
"6" "y16" "OO" "4" "3" "Ara" "m" 1.4386759359653
"7" "y16" "CO" "9" "2" "Ara" "m" 1.32733251925379
"8" "y16" "OO" "4" "2" "Fzo" "m" 1.32973949894055
"9" "y16" "OO" "4" "3" "Rip" "m" 1.68885261757949
"10" "y16" "CO" "10" "2" "Fzo" "m" 1.34697723867975
"11" "y16" "CO" "10" "3" "Ara" "m" 1.34901712279034
"12" "y16" "CO" "9" "3" "Fzo" "m" 1.38233537939764
"13" "y16" "OO" "2" "2" "Ara" "m" 1.3334192943383
"14" "y16" "CO" "10" "2" "Rip" "m" 1.11220069787029
"15" "y16" "OO" "4" "1" "Rip" "m" 1.33213960546282
"16" "y16" "CO" "9" "1" "Ara" "m" 1.18392325062466
"17" "y16" "OO" "2" "2" "Rip" "m" 1.39124606049203
"18" "y16" "OO" "4" "3" "Fzo" "m" 1.46844583987441
"19" "y16" "CO" "10" "1" "Ara" "m" 1.50113080000994
"20" "y16" "CO" "10" "2" "Ara" "m" 1.26161601872452
"21" "y16" "OO" "2" "1" "Rip" "m" 1.26077903132831
"22" "y16" "OO" "2" "2" "Fzo" "m" 1.30393085342316
"23" "y16" "OO" "4" "2" "Rip" "m" 1.38183605751505
"24" "y16" "CO" "9" "2" "Fzo" "m" 1.29842061512884
"25" "y16" "OO" "4" "1" "Ara" "m" 1.35558706956111
"26" "y16" "OO" "4" "2" "Ara" "m" 1.43244022241704
"27" "y16" "CO" "10" "1" "Fzo" "m" 1.1269572155181
"28" "y16" "CO" "9" "3" "Ara" "m" 1.63081360413412
"29" "y16" "OO" "2" "1" "Fzo" "m" 1.341945343187
"30" "y16" "CO" "10" "1" "Rip" "m" NA
"31" "y16" "OO" "2" "3" "Fzo" "m" 1.26597116399015
"32" "y16" "CO" "10" "3" "Fzo" "m" 1.58263072376249
"33" "y16" "OO" "2" "3" "Rip" "m" 1.34972225505259
"34" "y16" "CO" "9" "1" "Rip" "m" 1.33862241036136
"35" "y16" "OO" "2" "3" "Ara" "m" 1.36584105509166
