"TRT" "APPEZZAMENTO" "COD" "LAVORAZIONE" "PARCELLA" "REPLICA" "P.Spinta.gr" "P.105.gr" "densita.apparente"
"1" "CO" "10" "A" "Ara" "1" "a" 4.6105 11.285 1.86846184376629
"2" "CO" "10" "A" "Ara" "1" "b" 4.09 10.296 1.91869770564272
"3" "CO" "10" "A" "Ara" "1" "m" 3.4745 8.7675 1.92195691112013
"4" "CO" "10" "A" "Ara" "2" "a" 4.2185 10.352 1.87060184445787
"5" "CO" "10" "A" "Ara" "2" "b" 3.879 9.523 1.87124752588773
"6" "CO" "10" "A" "Ara" "2" "m" 3.218 8.7445 2.03268438154206
"7" "CO" "10" "A" "Ara" "3" "a" 4.228 10.65 1.92479338848923
"8" "CO" "10" "A" "Ara" "3" "b" 4.322 11.347 1.99709421084097
"9" "CO" "10" "A" "Ara" "3" "m" 3.709 9.4115 1.93222033248538
"10" "CO" "10" "B" "Rip" "1" "a" 3.8645 9.9555 1.9652203454292
"11" "CO" "10" "B" "Rip" "1" "b" 3.6815 9.524 1.96777785451384
"12" "CO" "10" "B" "Rip" "1" "m" 3.157 7.6885 1.86853083512358
"13" "CO" "10" "B" "Rip" "2" "a" 3.983 9.691 1.84446043557809
"14" "CO" "10" "B" "Rip" "2" "b" 3.7295 9.724 1.99409075314477
"15" "CO" "10" "B" "Rip" "2" "m" 3.2205 8.166 1.9170894957625
"16" "CO" "10" "B" "Rip" "3" "a" 3.292 8.3845 1.93775810201046
"17" "CO" "10" "B" "Rip" "3" "b" 2.9425 7.422 1.91010557692073
"18" "CO" "10" "B" "Rip" "3" "m" 3.6785 9.4585 1.95491104568842
"19" "CO" "10" "C" "Fzo" "1" "a" 4.767 11.7425 1.86391881635685
"20" "CO" "10" "C" "Fzo" "1" "b" 3.9995 10.0045 1.90288636096725
"21" "CO" "10" "C" "Fzo" "1" "m" 2.748 6.5545 1.81468239044161
"22" "CO" "10" "C" "Fzo" "2" "a" 3.826 9.725 1.95691319239286
"23" "CO" "10" "C" "Fzo" "2" "b" 3.617 8.968 1.89279419206363
"24" "CO" "10" "C" "Fzo" "2" "m" 3.679 8.901 1.8559378827179
"25" "CO" "10" "C" "Fzo" "3" "a" 4.6245 11.1885 1.83781629229378
"26" "CO" "10" "C" "Fzo" "3" "b" 3.5895 8.808 1.87381733947547
"27" "CO" "10" "C" "Fzo" "3" "m" 4.4655 11.468 1.95637651676952
"28" "CO" "9" "A" "Ara" "1" "a" 3.9295 10.1315 1.96125413600943
"29" "CO" "9" "A" "Ara" "1" "b" 4.4375 11.2415 1.92862601540295
"30" "CO" "9" "A" "Ara" "1" "m" 3.201 7.7265 1.83882878080906
"31" "CO" "9" "A" "Ara" "2" "a" 3.284 8.2955 1.92429213886493
