"MAN";"FIELD";"TIL";"ROW";"REP";"REPPORO";"DIAMETRO"
"1";"C";"09";"a";"2";"m";"1";3.83322472902922
"2";"C";"09";"b";"2";"m";"1";5.42212743461324
"3";"C";"09";"c";"2";"m";"1";4.18155470582716
"4";"C";"09";"c";"2";"m";"2";5.70156875855533
"5";"C";"10";"a";"2";"m";"1";7.03334203988451
"6";"C";"10";"b";"2";"m";"1";6.23906153765581
"7";"C";"10";"b";"2";"m";"2";10.2760772902028
"8";"C";"10";"c";"2";"m";"1";1.25385233059146
"9";"O";"02";"a";"2";"m";"1";4.53087334250688
"10";"O";"02";"b";"2";"m";"1";6.79909816683585
"11";"O";"02";"b";"2";"m";"2";10.3764339125856
"12";"O";"02";"b";"2";"m";"3";10.0203096797671
"13";"O";"02";"c";"2";"m";"1";6.75537543244822
"14";"O";"04";"a";"2";"m";"1";1.93155954825462
"15";"O";"04";"b";"2";"m";"1";2.52756244611405
"16";"O";"04";"c";"2";"m";"1";3.41471412402735
