"SampleName";"PARCELLA";"Nitrogen";"Carbon"
"1";1;"CO9A1";0,1353722365;2,9271644355
"2";2;"CO9C1";0,1297003105;2,7603548765
"3";3;"OO2B2";0,1329919435;3,2242482905
"4";4;"OO4B2";0,1063202285;2,861300111
"5";5;"CO9A3";0,136593118;3,6479979755
"6";6;"CO9C3";0,1474950685;3,686945915
"7";7;"OO4A2";0,1466225385;2,9657663105
"8";8;"CO10B2";0,141784422;4,4873013495
"9";9;"CO9A2";0,127855111;3,77225399
"10";10;"OO2C1";0,122829404;3,237120867
"11";11;"CO10C2";0,1348110775;4,1480576995
"12";12;"OO4C2";0,0982826915;2,758056045
"13";13;"CO9C2";0,1197541245;3,638853073
"14";14;"OO2B1";0,142655425;3,130655527
"15";15;"CO10A1";0,127377443;3,006491542
"16";16;"OO2A3";0,1260803195;3,538597226
"17";17;"CO10A3";0,1474693195;4,2903442385
"18";18;"OO4A1";0,139968075;2,873493552
"19";19;"CO10C1";0,134986777;3,5220746995
"20";20;"CO10A2";0,1344758795;4,2400400635
"21";21;"OO2B3";0,1407738925;2,9487333295
"22";22;"OO4B1";0,125316318;2,9171850685
"23";23;"CO9B2";0,1147746705;3,9181708095
"24";24;"OO2C3";0,14643921;3,4972800015
"25";25;"CO10B3";0,128549654;4,0635654925
"26";26;"OO2A1";0,1463244185;2,86497879
"27";27;"OO4B3";0,1465857775;3,185487032
"28";28;"CO10C3";0,1469465495;4,182791233
"29";29;"CO9B1";0,134703316;3,0153388975
"30";30;"CO10B1";0,135650456;3,4820554255
"31";31;"OO4A3";0,126891274;3,14937675
"32";32;"CO9B3";0,1322590855;3,639551759
"33";33;"OO2C2";0,1276657135;2,772100449
"34";34;"OO2A2";0,114633478;3,399377823
"35";35;"OO4C3";0,1281967205;3,3175195455
"36";36;"OO4C1";0,112564959;2,8359918595
