TRT;APPEZZAMENTO;COD;PARCELLA;REPLICA;LAVORAZIONE;ORDINE;ORDINE.ANALISI;NOME.COMPLETO;Vasca.N;ml.cilindro;ml.acqua;ml.Sassi:grossi;Tara.SO.gr;Lordo.SO.105.gr;Lordo.Suolo.105.gr;Data.vagliatura;NOTE
CO;9;A;3;m;Ara;99;-2,18;CO9A3m;5;150;128;0;0;0;1716;;
OO;2;B;2;b;Rip;53;-1,91;OO2B2b;;;;;;;;;
OO;2;B;3;m;Rip;101;-1,63;OO2B3m;8;100;92;0;14,229;17,288;1501;18/11/2016;
OO;4;A;1;b;Ara;38;-1,53;OO4A1b;;;;;;;;;
CO;10;B;2;m;Rip;92;-1,53;CO10B2m;26;100;77;0;13,872;19,522;1295;18/11/2016;
OO;2;C;1;b;Fzo;45;-1,44;OO2C1b;;;;;;;;;
OO;4;B;1;a;Rip;6;-1,34;OO4B1a;;;;;;;;;
CO;9;C;1;b;Fzo;47;-1,25;CO9C1b;;;;;;;;;
OO;2;B;3;a;Rip;29;-1,12;OO2B3a;;;;;;;;;
OO;4;C;3;m;Fzo;106;-1,12;OO4C3m;28;150;124;0;14,327;18,466;1577;22/11/2016;
CO;10;A;2;a;Ara;16;-1,07;CO10A2a;;;;;;;;;
CO;10;B;1;a;Rip;8;-1,03;CO10B1a;;;;;;;;;
OO;4;B;3;a;Rip;30;-0,98;OO4B3a;;;;;;;;;
CO;9;B;3;b;Rip;67;-0,97;CO9B3b;;;;;;;;;
OO;2;B;1;a;Rip;5;-0,94;OO2B1a;;;;;;;;;
OO;4;B;3;m;Rip;102;-0,94;OO4B3m;22;100;73;0;14,543;16,281;1757;22/11/2016;
CO;10;C;1;a;Fzo;12;-0,91;CO10C1a;;;;;;;;;
OO;4;C;1;a;Fzo;10;-0,89;OO4C1a;;;;;;;;;
OO;2;A;2;a;Ara;13;-0,88;OO2A2a;;;;;;;;;
CO;10;A;3;a;Ara;28;-0,88;CO10A3a;;;;;;;;;
OO;2;C;2;m;Fzo;93;-0,87;OO2C2m;29;100;87;6,93;13,765;15,483;1449;23/11/2016;
CO;10;A;3;b;Ara;64;-0,84;CO10A3b;;;;;;;;;
CO;9;A;1;m;Ara;75;-0,7;CO9A1m;27;100;59;64,69;0;0;1246;23/11/2016;
CO;10;B;3;m;Rip;104;-0,7;CO10B3m;18;100;85;36,27;14,57;22,368;1393;23/11/2016;
OO;2;C;1;a;Fzo;9;-0,63;OO2C1a;;;;;;;;;
CO;9;A;2;m;Ara;87;-0,62;CO9A2m;19;100;82;8,99;14,17;15,23;1460;23/11/2016;
CO;9;B;1;a;Rip;7;-0,58;CO9B1a;;;;;;;;;
CO;9;C;2;m;Fzo;95;-0,58;CO9C2m;30;100;88;0;14,259;21,959;1456;24/11/2016;
OO;2;A;2;m;Ara;85;-0,57;OO2A2m;25;100;99;0;0;0;1499;24/11/2016;
OO;4;B;3;b;Rip;66;-0,54;OO4B3b;;;;;;;;;
