“Densità del petrolio=0,761 g/cm^3 e densità suolo=2,65 g/gm^3”;;;;;;;;;;
“PI= peso iniziale, PSV= peso dopo una notte sotto vuoto, PSP= peso della spinta, P105 peso a 105°. Dati acquisiti a Dicembre 2016”;;;;;;;;;;
PROGRESSIVO;TRT;APPEZZAMENTO;COD;PARCELLA;REPLICA;LAVORAZIONE;P.Iniz.gr;P.Svuoto.gr;P.Spinta.gr;P.105.gr
1;OO;2;A;1;m;Ara;9,577;9,543;3,764;9,367
2;OO;2;B;1;m;Rip;15,163;15,08;5,779;14,741
3;OO;2;C;1;m;Fzo;9,736;9,707;3,953;9,513
4;OO;2;A;2;m;Ara;12,981;12,936;4,489;12,675
5;OO;2;B;2;m;Rip;16,717;16,642;6,879;16,32
6;OO;2;C;2;m;Fzo;15,146;15,102;6,693;14,852
7;OO;2;A;3;m;Ara;14,253;14,205;5,531;13,967
8;OO;2;B;3;m;Rip;10,327;10,287;5,29;10,12
9;OO;2;C;3;m;Fzo;8,956;8,919;3,586;8,73
10;OO;4;A;1;m;Ara;14,27;14,23;5,894;13,976
11;OO;4;B;1;m;Rip;10,726;10,69;4,427;10,497
12;OO;4;C;1;m;Fzo;11,035;10,994;4,372;10,806
13;OO;4;A;2;m;Ara;11,185;11,143;4,323;10,972
14;OO;4;B;2;m;Rip;12,56;12,518;4,876;12,328
15;OO;4;C;2;m;Fzo;10,145;10,12;4,325;9,94
16;OO;4;A;3;m;Ara;14,521;14,478;5,909;14,236
17;OO;4;B;3;m;Rip;11,019;10,98;4,328;10,793
18;OO;4;C;3;m;Fzo;9,125;9,096;3,693;8,933
19;CO;9;A;1;m;Ara;8,768;8,739;3,583;8,581
20;CO;9;B;1;m;Rip;8,163;8,136;3,545;7,994
21;CO;9;C;1;m;Fzo;7,943;7,917;3,286;7,789
22;CO;9;A;2;m;Ara;12,6;12,562;4,896;12,34
23;CO;9;B;2;m;Rip;9,684;9,641;3,706;9,475
24;CO;9;C;2;m;Fzo;9,115;9,071;3,765;8,922
25;CO;9;A;3;m;Ara;11,56;11,518;3,89;11,318
26;CO;9;B;3;m;Rip;8,951;8,912;3,467;8,746
27;CO;9;C;3;m;Fzo;10,477;10,439;3,997;10,236
28;CO;10;A;1;m;Ara;9,668;9,635;3,789;9,478
29;CO;10;B;1;m;Rip;9,77;9,745;4,019;9,574
30;CO;10;C;1;m;Fzo;8,194;8,162;3,357;8,014
31;CO;10;A;2;m;Ara;11,689;11,651;3,995;11,437
32;CO;10;B;2;m;Rip;10,45;10,403;3,941;10,218
33;CO;10;C;2;m;Fzo;11,565;11,515;4,767;11,313
34;CO;10;A;3;m;Ara;11,017;10,982;4,268;10,792
35;CO;10;B;3;m;Rip;9,016;8,987;3,512;8,834
36;CO;10;C;3;m;Fzo;12,413;12,376;4,797;12,16
37;OO;2;A;1;a;Ara;13,28;13,233;5,131;12,933
38;OO;2;B;1;a;Rip;9,407;9,363;3,557;3,105
39;OO;2;C;1;a;Fzo;8,646;8,588;3,628;8,346
40;OO;2;A;2;a;Ara;11,439;11,369;4,553;13,864
41;OO;2;B;2;a;Rip;14,999;14,921;6,228;14,539
42;OO;2;C;2;a;Fzo;12,01;11,966;5,087;11,7
43;OO;2;A;3;a;Ara;17,042;16,976;6,358;16,579
44;OO;2;B;3;a;Rip;12,583;12,534;5,277;12,209
45;OO;2;C;3;a;Fzo;13,026;12,943;5,159;12,6
46;OO;4;A;1;a;Ara;9,48;9,445;3,776;9,223
47;OO;4;B;1;a;Rip;10,121;10,085;3,825;9,849
48;OO;4;C;1;a;Fzo;15,742;15,675;6,284;15,314
49;OO;4;A;2;a;Ara;10,891;10,849;4,397;10,6
50;OO;4;B;2;a;Rip;12,478;12,444;4,581;12,234
51;OO;4;C;2;a;Fzo;11,307;11,267;4,868;11,004
52;OO;4;A;3;a;Ara;15,584;15,533;6,157;15,218
53;OO;4;B;3;a;Rip;9,241;9,202;4,002;8,956
54;OO;4;C;3;a;Fzo;14,681;14,63;5,816;14,304
55;CO;9;A;1;a;Ara;12,748;12,691;4,806;12,41
56;CO;9;B;1;a;Rip;6,933;6,902;3,064;6,741
57;CO;9;C;1;a;Fzo;13,38;13,31;4,987;13,02
58;CO;9;A;2;a;Ara;9,781;9,739;3,786;9,509
59;CO;9;B;2;a;Rip;12,412;12,369;5,003;12,104
60;CO;9;C;2;a;Fzo;9,478;9,444;3,681;9,255
61;CO;9;A;3;a;Ara;12,991;12,942;5,084;12,667
62;CO;9;B;3;a;Rip;9,915;9,882;3,822;9,64
63;CO;9;C;3;a;Fzo;11,129;11,079;4,482;10,79
64;CO;10;A;1;a;Ara;11,747;11,707;4,903;11,451
65;CO;10;B;1;a;Rip;12,774;12,717;4,848;12,4
66;CO;10;C;1;a;Fzo;14,459;14,342;5,511;13,992
67;CO;10;A;2;a;Ara;11,625;11,573;4,67;11,299
