"CAMPIONE";"REP";"sand";"silt";"clay"
"B.3a.cn";"a";49,7;34,32;15,98
"B.3a.dx";"a";50,45;31,64;17,91
"B.3a.sx";"a";44,85;37,64;17,51
"B.3b.cn";"a";88,27;10,62;1,11
"B.3b.dx";"a";45,12;40,74;14,14
"B.3b.sx";"a";53,06;31,14;15,8
"B.3c.cn";"a";40,87;44,56;14,57
"B.3c.dx";"a";44,49;37,61;17,9
"B.3c.sx";"a";50,79;33,8;15,41
"C.Pa.cn";"a";51,6;34,91;13,49
"C.Pa.dx";"a";49,64;32,13;18,23
"C.Pa.sx";"a";42,18;40,47;17,35
"C.Pb.cn";"a";60,09;27,98;11,93
"C.Pb.dx";"a";42,5;40,77;16,73
"C.Pb.sx";"a";50,91;32,24;16,85
"C.Pc.cn";"a";56,38;31,31;12,31
"C.Pc.dx";"a";48,45;34,92;16,63
"C.Pc.sx";"a";46,51;36,03;17,46
