Instrument type : Porosimeter 2000							
Sample name : C09A2m							
Filename : C:\POROSDIR\Pascal_2012\SIMONE_TESI\Combi_Simone\C09a2m_comb.Por							
Software version : 1.03B-3							
Date : 21/06/17							
* * * Sample information	* * *						
Company Name : 	Fisons Instruments SpA						
Operator : 	AB						
Date : 	08/03/2017						
Sample name : 	C09A2m						
Preparation : 	secco all'aria						
Sample mass (g) : 	1.083						
Sample density (g) : 	1.3						
Mercury height (mm) : 	60.963						
Vol. at run (mm3) : 	233						
Weight dilatometer+mercury+sample (g) : 	257.98						
Weight dil.+mercury+sample correct(g) : 	0						
Capillary mercury height (mm) : 	32.963						
Bulk D.calc. at 250 (kPa)-->Vol.(mm3): 	20.369						
							
* * * Acquisition parameters	* * *						
Max pressure : 	2000						
Pump speed increase : 	2						
Pump speed decrease : 	1						
Pump speed inc. compensation : 	Pascal						
Pump speed dec. compensation : 	Pascal						
Dilatometer number : 	1						
Dilatometer type : 	Normal						
							
* * * Calculation parameters	* * *						
Conctact angle (Deg) : 	141.3						
Hg surface tension (Dyne/cm) : 	480						
Hg density (g/cm3) : 	13.5463						
Temperature Hg (°C): 	20						
Pores model : 	Cylindrical						
Sample volume correction : 	Yes						
Region start : 	0						
Region stop : 	10000000						
Region number of intervals : 	50						
Pores average mode : 	Range						
Particle size distribution : 	No						
Kp factor : 	11.7003						
Cut off radius : 	.001-10						
							
* * * Blank parameters	* * *						
Blank data file path : 	C:\POROSDIR\Pascal_2012\SIMONE_TESI\Poros_2000\Dil5new.por						
Blank name instrument : 	Porosimeter 2000						
Num. of blank data points increase : 	401						
Num. of blank data points decrease : 	177						
Filling volume (mm3) : 	474 (from blank file)						
Weight dilatometer (g) : 	44.57 (from blank file)						
Weight dilatometer+Hg (g) : 	264.43 (from blank file)						
Capillary radius (mm) : 	1.5 (from blank file)						
Dilatometer cone height (mm) : 	28 (from blank file)						
Hg density blank (g/cm3) : 	13.5438 (from blank file)						
Temperature Hg (°C): 	21						
							
							
R E S U L T S							
Total cumulative volume (mm3/g) : 	171.3757935						
Total specific surface area (m²/g) : 	3.187000036						
Average pore radius (Micron) : 	0.425098002						
Total  porosity (%) : 	33.1969986						
Bulk density  (g/cm3) : 	1.937090039						
Bulk density (g/cm3) at 250 (kPa) : 	2.010329962						
Apparent density (g/cm3) : 	2.899699926						
Cut-Off radius range (Micron) :  : -------	.001-10						
Total pore volume (mm3/g) : 	0						
Pore specific surface area (m²/g) : 	0						
Cumulative volume [Cut-Off] (mm3/g) : 	171.3757935						
Surface area [Cut-Off] (m²/g) : 	3.187000036						
Sample volume correction : 	0.9657374024						
							
P O R E   S I Z E   D I S T R I B U T I O N (custom ranges)							
Pore radius ranges	Specific Volume	Relative Volume	Relative Volume				
(µM)	(mm3/g)	(mm3/g)	(%)				
10000-1000	0.000	0.000	0.000				
1000-100	0.000	0.000	0.000				
100-10	14.310	14.310	8.350				
10-1	31.580	17.270	10.080				
1-.1	136.930	105.360	61.480				
.1-.01	169.810	32.870	19.180				
.01-.001	171.380	1.570	0.920				
							
P A R T I C L E   S I Z E   D I S T R I B U T I O N							
Particle diameter range	Cum. Distr. Vol.	Rel. Distr. Vol.	Cumulative Area	Relative Area			
(µM)	(%)	(%)	(m²/g)	(m²/g)			
15-10	5.290	5.290	0.017	0.017			
10-8	11.880	6.580	0.044	0.027			
8-5	29.630	17.750	0.151	0.107			
5-3.5	42.970	13.350	0.271	0.120			
3.5-2.5	53.200	10.230	0.399	0.129			
2.5-1.85	60.850	7.640	0.531	0.132			
1.85-1.5	65.780	4.940	0.641	0.110			
1.5-1.2	69.840	4.060	0.754	0.113			
1.2-1.05	72.190	2.350	0.832	0.078			
1.05-.9	74.660	2.470	0.927	0.095			
.9-.75	77.190	2.530	1.041	0.114			
.75-.6	80.310	3.120	1.213	0.172			
.6-.5	82.300	2.000	1.346	0.133			
.5-.35	85.190	2.880	1.595	0.249			
.35-.25	86.130	0.940	1.715	0.120			
.25-.2	87.830	1.700	1.997	0.281			
.2-.15	88.540	0.710	2.142	0.145			
.15-.1	92.000	3.470	3.175	1.033			
.1-.08	92.000	0.000	3.175	0.000			
.08-.05	92.000	0.000	3.175	0.000			
.05-.02	92.000	0.000	3.175	0.000			
.02-.01	92.000	0.000	3.175	0.000			
.01-0	92.000	0.000	3.175	0.000			
							
D A T A   R E P O R T							
Pressure	Volume	Radius	Spec.Vol.	Rel.Vol.			
(MPa)	(mm3)	(µm)	(mm3/g)	(mm3/g)			
0.009	0.000	87.311	0.000	0.000			
0.009	0.100	86.324	0.090	0.090			
0.009	0.300	82.556	0.280	0.180			
0.009	0.400	81.673	0.370	0.090			
0.009	0.900	80.012	0.830	0.460			
0.009	1.000	79.183	0.920	0.090			
0.010	1.300	78.402	1.200	0.280			
0.010	1.400	76.810	1.290	0.090			
0.010	1.600	75.296	1.480	0.180			
0.010	1.700	74.561	1.570	0.090			
0.010	1.800	73.840	1.660	0.090			
0.010	1.900	73.133	1.750	0.090			
0.010	2.000	72.440	1.850	0.090			
0.010	2.100	71.759	1.940	0.090			
0.011	2.300	70.436	2.120	0.180			
0.011	2.400	69.148	2.220	0.090			
0.011	2.600	67.919	2.400	0.180			
0.011	2.700	67.320	2.490	0.090			
0.011	2.800	66.732	2.590	0.090			
0.011	2.900	66.154	2.680	0.090			
0.012	3.000	65.017	2.770	0.090			
0.012	3.100	64.468	2.860	0.090			
0.012	3.200	63.929	2.950	0.090			
0.012	3.300	63.398	3.050	0.090			
0.012	3.400	62.353	3.140	0.090			
0.012	3.500	60.844	3.230	0.090			
0.012	3.600	60.363	3.320	0.090			
0.013	3.800	59.899	3.510	0.180			
0.013	4.000	58.974	3.690	0.180			
0.013	4.100	58.522	3.790	0.090			
0.013	4.200	57.631	3.880	0.090			
0.013	4.300	57.199	3.970	0.090			
0.013	4.400	56.347	4.060	0.090			
0.013	4.500	55.934	4.160	0.090			
0.014	4.600	55.528	4.250	0.090			
0.014	4.700	54.328	4.340	0.090			
0.014	4.800	53.944	4.430	0.090			
0.014	4.900	53.566	4.520	0.090			
0.014	5.000	53.193	4.620	0.090			
0.014	5.100	52.825	4.710	0.090			
0.015	5.200	51.383	4.800	0.090			
0.015	5.300	51.039	4.890	0.090			
0.015	5.400	50.360	4.990	0.090			
0.015	5.500	49.371	5.080	0.090			
0.015	5.600	48.735	5.170	0.090			
0.016	5.700	47.504	5.260	0.090			
0.016	5.800	46.915	5.360	0.090			
0.016	5.900	46.629	5.450	0.090			
0.016	6.000	46.061	5.540	0.090			
0.016	6.200	45.790	5.720	0.180			
0.017	6.400	44.708	5.910	0.180			
0.017	6.500	43.927	6.000	0.090			
0.017	6.600	43.422	6.090	0.090			
0.018	6.700	42.929	6.190	0.090			
0.018	6.800	42.209	6.280	0.090			
0.018	6.900	41.743	6.370	0.090			
0.019	7.000	40.397	6.460	0.090			
0.019	7.100	40.184	6.560	0.090			
0.019	7.200	39.762	6.650	0.090			
0.019	7.300	39.348	6.740	0.090			
0.020	7.400	37.956	6.830	0.090			
0.020	7.500	37.392	6.930	0.090			
0.020	7.600	36.844	7.020	0.090			
0.021	7.700	36.311	7.110	0.090			
0.021	7.800	35.966	7.200	0.090			
0.021	7.900	34.962	7.290	0.090			
0.022	8.000	34.483	7.390	0.090			
0.022	8.100	33.862	7.480	0.090			
0.022	8.200	33.412	7.570	0.090			
0.023	8.300	32.829	7.660	0.090			
0.023	8.400	32.406	7.760	0.090			
0.023	8.500	32.131	7.850	0.090			
0.024	8.600	31.591	7.940	0.090			
0.024	8.700	31.070	8.030	0.090			
0.025	8.800	30.075	8.130	0.090			
0.025	8.900	29.485	8.220	0.090			
0.026	9.000	29.030	8.310	0.090			
0.026	9.100	28.481	8.400	0.090			
0.026	9.200	28.268	8.490	0.090			
0.027	9.300	27.850	8.590	0.090			
0.027	9.400	27.443	8.680	0.090			
0.028	9.600	27.051	8.860	0.180			
0.028	9.700	26.955	8.960	0.090			
0.028	9.800	26.575	9.050	0.090			
0.029	9.900	25.579	9.140	0.090			
0.030	10.000	25.067	9.230	0.090			
0.030	10.100	24.737	9.330	0.090			
0.031	10.400	24.580	9.600	0.280			
0.031	10.500	24.029	9.700	0.090			
0.032	10.600	23.577	9.790	0.090			
0.032	10.700	23.070	9.880	0.090			
0.033	10.800	22.653	9.970	0.090			
0.034	10.900	22.185	10.060	0.090			
0.035	11.000	21.364	10.160	0.090			
0.035	11.100	21.184	10.250	0.090			
0.036	11.200	20.831	10.340	0.090			
0.036	11.300	20.603	10.430	0.090			
0.037	11.400	20.270	10.530	0.090			
0.038	11.500	19.789	10.620	0.090			
0.039	11.600	19.381	10.710	0.090			
0.041	11.700	18.519	10.800	0.090			
0.041	11.800	18.161	10.900	0.090			
0.042	11.900	17.944	10.990	0.090			
0.043	12.000	17.525	11.080	0.090			
0.045	12.100	16.818	11.170	0.090			
0.045	12.200	16.486	11.270	0.090			
0.046	12.400	16.167	11.450	0.180			
0.048	12.500	15.628	11.540	0.090			
0.048	12.900	15.598	11.910	0.370			
0.048	13.300	15.568	12.280	0.370			
0.049	13.500	15.441	12.470	0.180			
0.049	13.600	15.191	12.560	0.090			
0.050	13.700	14.919	12.650	0.090			
0.052	13.800	14.404	12.740	0.090			
0.053	13.900	14.132	12.830	0.090			
0.054	14.000	13.769	12.930	0.090			
0.055	14.100	13.694	13.020	0.090			
0.056	14.200	13.473	13.110	0.090			
0.058	14.300	12.961	13.200	0.090			
0.059	14.400	12.676	13.300	0.090			
0.060	14.500	12.591	13.390	0.090			
0.061	14.600	12.262	13.480	0.090			
0.064	14.700	11.780	13.570	0.090			
0.065	14.800	11.492	13.670	0.090			
0.067	14.900	11.250	13.760	0.090			
0.068	15.000	11.052	13.850	0.090			
0.068	15.100	10.971	13.940	0.090			
0.071	15.200	10.569	14.040	0.090			
0.072	15.300	10.379	14.130	0.090			
0.073	15.400	10.237	14.220	0.090			
0.074	15.500	10.072	14.310	0.090			
0.076	15.600	9.874	14.400	0.090			
0.078	15.700	9.645	14.500	0.090			
0.079	15.800	9.462	14.590	0.090			
0.081	15.900	9.252	14.680	0.090			
0.085	16.000	8.817	14.770	0.090			
0.087	16.100	8.614	14.870	0.090			
0.090	16.200	8.355	14.960	0.090			
0.091	16.300	8.227	15.050	0.090			
0.094	16.400	7.982	15.140	0.090			
0.096	16.500	7.815	15.240	0.090			
0.097	16.600	7.759	15.330	0.090			
0.099	16.700	7.579	15.420	0.090			
0.102	16.800	7.377	15.510	0.090			
0.102	17.000	7.370	15.700	0.180			
0.102	17.200	7.349	15.880	0.180			
0.105	17.300	7.098	15.970	0.090			
0.108	17.400	6.947	16.070	0.090			
0.110	17.500	6.808	16.160	0.090			
0.112	17.600	6.681	16.250	0.090			
0.116	17.700	6.479	16.340	0.090			
0.118	17.700	6.326	16.340	0.000			
0.122	17.800	6.164	16.440	0.090			
0.124	17.900	6.016	16.530	0.090			
0.128	17.900	5.843	16.530	0.000			
0.133	18.000	5.640	16.620	0.090			
0.134	18.100	5.590	16.710	0.090			
0.136	18.200	5.500	16.810	0.090			
0.138	18.300	5.448	16.900	0.090			
0.140	18.300	5.332	16.900	0.000			
0.144	18.400	5.213	16.990	0.090			
0.147	18.500	5.099	17.080	0.090			
0.150	18.600	5.001	17.170	0.090			
0.156	18.600	4.793	17.170	0.000			
0.160	18.700	4.688	17.270	0.090			
0.164	18.800	4.576	17.360	0.090			
0.167	18.900	4.475	17.450	0.090			
0.174	18.900	4.311	17.450	0.000			
0.177	19.000	4.221	17.540	0.090			
0.182	19.100	4.128	17.640	0.090			
0.187	19.200	4.015	17.730	0.090			
0.188	19.300	3.996	17.820	0.090			
0.195	19.400	3.846	17.910	0.090			
0.198	19.400	3.786	17.910	0.000			
0.202	19.500	3.705	18.010	0.090			
0.208	19.600	3.595	18.100	0.090			
0.211	19.700	3.544	18.190	0.090			
0.219	19.800	3.423	18.280	0.090			
0.223	19.900	3.354	18.370	0.090			
0.229	19.900	3.275	18.370	0.000			
0.233	20.000	3.212	18.470	0.090			
0.237	20.100	3.164	18.560	0.090			
0.239	20.200	3.131	18.650	0.090			
0.244	20.300	3.067	18.740	0.090			
0.253	20.400	2.966	18.840	0.090			
0.255	20.500	2.937	18.930	0.090			
0.258	20.600	2.905	19.020	0.090			
0.258	20.800	2.901	19.210	0.180			
0.268	21.000	2.793	19.390	0.180			
0.278	21.200	2.693	19.580	0.180			
0.288	21.400	2.600	19.760	0.180			
0.298	21.600	2.512	19.940	0.180			
0.318	21.700	2.355	20.040	0.090			
0.328	22.100	2.283	20.410	0.370			
0.338	22.300	2.215	20.590	0.180			
0.358	22.700	2.092	20.960	0.370			
0.368	23.100	2.035	21.330	0.370			
0.378	23.300	1.981	21.510	0.180			
0.388	23.400	1.930	21.610	0.090			
0.398	23.600	1.882	21.790	0.180			
0.408	23.800	1.836	21.980	0.180			
0.418	24.000	1.792	22.160	0.180			
0.428	24.200	1.750	22.350	0.180			
0.438	24.400	1.710	22.530	0.180			
0.448	24.600	1.672	22.710	0.180			
0.458	24.800	1.635	22.900	0.180			
0.468	25.200	1.600	23.270	0.370			
0.478	25.600	1.567	23.640	0.370			
0.488	25.800	1.535	23.820	0.180			
0.498	26.000	1.504	24.010	0.180			
0.508	26.800	1.475	24.750	0.740			
0.518	27.100	1.446	25.020	0.280			
0.528	27.700	1.419	25.580	0.550			
0.538	27.900	1.392	25.760	0.180			
0.558	28.300	1.343	26.130	0.370			
0.568	28.500	1.319	26.320	0.180			
0.578	28.700	1.296	26.500	0.180			
0.588	29.100	1.274	26.870	0.370			
0.608	29.300	1.232	27.050	0.180			
0.618	29.500	1.212	27.240	0.180			
0.638	29.900	1.174	27.610	0.370			
0.658	30.600	1.139	28.250	0.650			
0.668	30.800	1.122	28.440	0.180			
0.688	31.200	1.089	28.810	0.370			
0.698	31.600	1.073	29.180	0.370			
0.708	31.800	1.058	29.360	0.180			
0.728	33.600	1.029	31.020	1.660			
0.748	34.200	1.002	31.580	0.550			
0.758	34.400	0.988	31.760	0.180			
0.778	34.800	0.963	32.130	0.370			
0.788	35.000	0.951	32.320	0.180			
0.798	36.000	0.939	33.240	0.920			
0.818	36.400	0.916	33.610	0.370			
0.828	37.100	0.905	34.260	0.650			
0.858	37.500	0.873	34.630	0.370			
0.868	37.900	0.863	35.000	0.370			
0.878	38.100	0.853	35.180	0.180			
0.908	41.500	0.825	38.320	3.140			
