Instrument type : Porosimeter 2000							
Sample name : C09B2m							
Filename : C:\POROSDIR\Pascal_2012\SIMONE_TESI\Combi_Simone\C09b2m_comb.Por							
Software version : 1.03B-3							
Date : 21/06/17							
* * * Sample information	* * *						
Company Name : 	Fisons Instruments SpA						
Operator : 	AB						
Date : 	08/03/2017						
Sample name : 	C09B2m						
Preparation : 	secco all'aria						
Sample mass (g) : 	.932						
Sample density (g) : 	1.3						
Mercury height (mm) : 	62.095						
Vol. at run (mm3) : 	241						
Weight dilatometer+mercury+sample (g) : 	257.61						
Weight dil.+mercury+sample correct(g) : 	0						
Capillary mercury height (mm) : 	34.095						
Bulk D.calc. at 250 (kPa)-->Vol.(mm3): 	27.6329						
							
* * * Acquisition parameters	* * *						
Max pressure : 	2000						
Pump speed increase : 	2						
Pump speed decrease : 	1						
Pump speed inc. compensation : 	Pascal						
Pump speed dec. compensation : 	Pascal						
Dilatometer number : 	1						
Dilatometer type : 	Normal						
							
* * * Calculation parameters	* * *						
Conctact angle (Deg) : 	141.3						
Hg surface tension (Dyne/cm) : 	480						
Hg density (g/cm3) : 	13.5438						
Temperature Hg (°C): 	21						
Pores model : 	Cylindrical						
Sample volume correction : 	Yes						
Region start : 	0						
Region stop : 	10000000						
Region number of intervals : 	50						
Pores average mode : 	Range						
Particle size distribution : 	No						
Kp factor : 	11.7003						
Cut off radius : 	.001-10						
							
* * * Blank parameters	* * *						
Blank data file path : 	C:\POROSDIR\Pascal_2012\SIMONE_TESI\Poros_2000\Dil8new.por						
Blank name instrument : 	Porosimeter 2000						
Num. of blank data points increase : 	293						
Num. of blank data points decrease : 	103						
Filling volume (mm3) : 	459 (from blank file)						
Weight dilatometer (g) : 	43.759 (from blank file)						
Weight dilatometer+Hg (g) : 	263.03 (from blank file)						
Capillary radius (mm) : 	1.5 (from blank file)						
Dilatometer cone height (mm) : 	28 (from blank file)						
Hg density blank (g/cm3) : 	13.5438 (from blank file)						
Temperature Hg (°C): 	21						
							
							
R E S U L T S							
Total cumulative volume (mm3/g) : 	161.9098969						
Total specific surface area (m²/g) : 	3.085000038						
Average pore radius (Micron) : 	0.3414779902						
Total  porosity (%) : 	32.17499924						
Bulk density  (g/cm3) : 	1.987220049						
Bulk density (g/cm3) at 250 (kPa) : 	2.111629963						
Apparent density (g/cm3) : 	2.929919958						
Cut-Off radius range (Micron) :  : -------	.001-10						
Total pore volume (mm3/g) : 	0						
Pore specific surface area (m²/g) : 	0						
Cumulative volume [Cut-Off] (mm3/g) : 	161.9098969						
Surface area [Cut-Off] (m²/g) : 	3.085000038						
Sample volume correction : 	0.971031189						
							
P O R E   S I Z E   D I S T R I B U T I O N (custom ranges)							
Pore radius ranges	Specific Volume	Relative Volume	Relative Volume				
(µM)	(mm3/g)	(mm3/g)	(%)				
10000-1000	0.000	0.000	0.000				
1000-100	0.000	0.000	0.000				
100-10	22.420	22.420	13.850				
10-1	34.870	12.450	7.690				
1-.1	128.860	93.990	58.050				
.1-.01	156.870	28.000	17.300				
.01-.001	161.910	5.040	3.110				
							
P A R T I C L E   S I Z E   D I S T R I B U T I O N							
Particle diameter range	Cum. Distr. Vol.	Rel. Distr. Vol.	Cumulative Area				
(µM)	(%)	(%)	(m²/g)				
15-10	3.540	3.540	0.010				
10-8	8.000	4.460	0.026				
8-5	25.460	17.460	0.121				
5-3.5	38.920	13.460	0.230				
3.5-2.5	50.620	11.690	0.362				
2.5-1.85	59.150	8.540	0.494				
1.85-1.5	64.380	5.230	0.598				
1.5-1.2	69.080	4.690	0.714				
1.2-1.05	71.540	2.460	0.787				
1.05-.9	74.380	2.850	0.883				
.9-.75	77.080	2.690	0.992				
.75-.6	80.540	3.460	1.162				
.6-.5	82.620	2.080	1.287				
.5-.35	86.230	3.620	1.572				
.35-.25	88.310	2.080	1.799				
.25-.2	89.150	0.850	1.923				
.2-.15	89.230	0.080	1.936				
.15-.1	92.310	3.080	2.870				
.1-.08	92.920	0.620	3.077				
.08-.05	92.920	0.000	3.077				
.05-.02	92.920	0.000	3.077				
.02-.01	92.920	0.000	3.077				
.01-0	92.920	0.000	3.077				
							
D A T A   R E P O R T							
Pressure	Volume	Radius	Spec.Vol.	Rel.Vol.			
(MPa)	(mm3)	(µm)	(mm3/g)	(mm3/g)			
0.009	0.000	84.802	0.000	0.000			
0.009	0.100	82.034	0.110	0.110			
0.009	0.200	79.441	0.210	0.110			
0.009	0.400	78.640	0.430	0.210			
0.010	0.600	76.269	0.640	0.210			
0.010	0.700	74.761	0.750	0.110			
0.010	0.900	73.326	0.970	0.210			
0.010	1.000	71.932	1.070	0.110			
0.011	1.100	70.589	1.180	0.110			
0.011	1.200	69.943	1.290	0.110			
0.011	1.300	68.673	1.390	0.110			
0.011	1.500	68.073	1.610	0.210			
0.011	1.700	66.881	1.820	0.210			
0.012	1.800	64.586	1.930	0.110			
0.012	1.900	64.044	2.040	0.110			
0.012	2.000	63.512	2.150	0.110			
0.012	2.100	62.988	2.250	0.110			
0.012	2.300	62.483	2.470	0.210			
0.012	2.500	61.477	2.680	0.210			
0.012	2.600	60.494	2.790	0.110			
0.013	2.700	59.542	2.900	0.110			
0.013	2.800	59.081	3.000	0.110			
0.013	2.900	58.628	3.110	0.110			
0.013	3.000	58.181	3.220	0.110			
0.013	3.100	56.865	3.330	0.110			
0.013	3.200	56.023	3.430	0.110			
0.014	3.300	55.615	3.540	0.110			
0.014	3.400	55.213	3.650	0.110			
0.014	3.600	54.426	3.860	0.210			
0.014	3.700	53.654	3.970	0.110			
0.014	3.800	52.904	4.080	0.110			
0.014	3.900	52.174	4.180	0.110			
0.014	4.000	51.820	4.290	0.110			
0.015	4.200	51.127	4.510	0.210			
0.015	4.300	50.787	4.610	0.110			
0.015	4.400	50.451	4.720	0.110			
0.015	4.700	50.133	5.040	0.320			
0.015	4.900	49.813	5.260	0.210			
0.015	5.000	49.490	5.360	0.110			
0.015	5.100	49.171	5.470	0.110			
0.015	5.200	48.857	5.580	0.110			
0.015	5.300	48.234	5.690	0.110			
0.016	5.400	47.326	5.790	0.110			
0.016	5.600	47.040	6.010	0.210			
0.016	5.700	46.752	6.120	0.110			
0.016	5.800	46.468	6.220	0.110			
0.016	5.900	46.187	6.330	0.110			
0.017	6.000	45.080	6.440	0.110			
0.017	6.100	44.816	6.550	0.110			
0.017	6.200	44.031	6.650	0.110			
