Instrument type : Porosimeter 2000							
Sample name : C09C2m							
Filename : C:\POROSDIR\Pascal_2012\SIMONE_TESI\Combi_Simone\C09c2m_comb.Por							
Software version : 1.03B-3							
Date : 21/06/17							
* * * Sample information	* * *						
Company Name : 	Fisons Instruments SpA						
Operator : 	AB						
Date : 	08/03/2017						
Sample name : 	C09C2m						
Preparation : 	secco all'aria						
Sample mass (g) : 	1.232						
Sample density (g) : 	1.3						
Mercury height (mm) : 	61.67						
Vol. at run (mm3) : 	238						
Weight dilatometer+mercury+sample (g) : 	237.24						
Weight dil.+mercury+sample correct(g) : 	0						
Capillary mercury height (mm) : 	33.67						
Bulk D.calc. at 250 (kPa)-->Vol.(mm3): 	33.8423						
							
* * * Acquisition parameters	* * *						
Max pressure : 	2000						
Pump speed increase : 	2						
Pump speed decrease : 	1						
Pump speed inc. compensation : 	Pascal						
Pump speed dec. compensation : 	Pascal						
Dilatometer number : 	1						
Dilatometer type : 	Normal						
							
* * * Calculation parameters	* * *						
Conctact angle (Deg) : 	141.3						
Hg surface tension (Dyne/cm) : 	480						
Hg density (g/cm3) : 	13.5438						
Temperature Hg (°C): 	21						
Pores model : 	Cylindrical						
Sample volume correction : 	Yes						
Region start : 	0						
Region stop : 	10000000						
Region number of intervals : 	50						
Pores average mode : 	Range						
Particle size distribution : 	Yes						
Kp factor : 	11.7003						
Cut off radius : 	.001-10						
							
* * * Blank parameters	* * *						
Blank data file path : 	C:\POROSDIR\Pascal_2012\SIMONE_TESI\Poros_2000\Dil6new.por						
Blank name instrument : 	Porosimeter 2000						
Num. of blank data points increase : 	216						
Num. of blank data points decrease : 	163						
Filling volume (mm3) : 	447 (from blank file)						
Weight dilatometer (g) : 	44.185 (from blank file)						
Weight dilatometer+Hg (g) : 	244.85 (from blank file)						
Capillary radius (mm) : 	1.5 (from blank file)						
Dilatometer cone height (mm) : 	28 (from blank file)						
Hg density blank (g/cm3) : 	13.5438 (from blank file)						
Temperature Hg (°C): 	21						
							
							
R E S U L T S							
Total cumulative volume (mm3/g) : 	214.0422058						
Total specific surface area (m²/g) : 	8.312000275						
Average pore radius (Micron) : 	0.5162129998						
Total  porosity (%) : 	40.39239883						
Bulk density  (g/cm3) : 	1.887130022						
Bulk density (g/cm3) at 250 (kPa) : 	1.990300059						
Apparent density (g/cm3) : 	3.165920019						
Sample volume correction : 	0.9559363723						
							
P O R E   S I Z E   D I S T R I B U T I O N (custom ranges)							
Pore radius ranges	Specific Volume	Relative Volume	Relative Volume				
(µM)	(mm3/g)	(mm3/g)	(%)				
10000-1000	0.000	0.000	0.000				
1000-100	0.000	0.000	0.000				
100-10	19.070	19.070	8.910				
10-1	55.760	36.690	17.140				
1-.1	162.580	106.820	49.910				
.1-.01	200.000	37.420	17.480				
.01-.001	214.040	14.040	6.560				
							
P A R T I C L E   S I Z E   D I S T R I B U T I O N							
Particle diameter range	Cum. Distr. Vol.	Rel. Distr. Vol.	Cumulative Area				
(µM)	(%)	(%)	(m²/g)				
15-10	9.030	9.030	0.035				
10-8	15.820	6.790	0.070				
8-5	30.680	14.860	0.179				
5-3.5	39.840	9.160	0.280				
3.5-2.5	47.750	7.910	0.403				
2.5-1.85	53.410	5.660	0.525				
1.85-1.5	56.240	2.830	0.603				
1.5-1.2	59.240	3.000	0.706				
1.2-1.05	61.030	1.790	0.780				
1.05-.9	62.700	1.670	0.859				
.9-.75	64.450	1.750	0.958				
.75-.6	66.400	1.960	1.092				
.6-.5	68.070	1.670	1.230				
.5-.35	71.820	3.750	1.645				
.35-.25	74.400	2.580	2.053				
.25-.2	76.270	1.870	2.453				
.2-.15	77.690	1.420	2.837				
.15-.1	79.680	2.000	3.623				
.1-.08	80.970	1.290	4.299				
.08-.05	84.850	3.870	7.264				
.05-.02	85.890	1.040	8.285				
.02-.01	85.890	0.000	8.285				
.01-0	85.890	0.000	8.285				
							
D A T A   R E P O R T							
Pressure	Volume	Radius	Spec.Vol.	Rel.Vol.			
(MPa)	(mm3)	(µm)	(mm3/g)	(mm3/g)			
0.009	0.000	86.344	0.000	0.000			
0.009	0.100	85.379	0.080	0.080			
0.009	0.400	81.708	0.320	0.240			
0.009	0.500	80.843	0.410	0.080			
0.009	1.000	80.062	0.810	0.410			
0.010	1.200	78.419	0.970	0.160			
0.010	1.300	76.826	1.060	0.080			
0.010	1.500	75.311	1.220	0.160			
0.010	1.600	73.841	1.300	0.080			
0.010	1.700	73.134	1.380	0.080			
0.010	1.800	72.440	1.460	0.080			
0.010	2.000	71.092	1.620	0.160			
0.011	2.100	69.780	1.700	0.080			
0.011	2.200	69.149	1.790	0.080			
0.011	3.300	68.026	2.680	0.890			
0.011	3.600	67.449	2.920	0.240			
0.011	3.700	66.858	3.000	0.080			
