Instrument type : Porosimeter 2000							
Sample name : O02B2m_2							
Filename : C:\POROSDIR\Pascal_2012\SIMONE_TESI\Combi_Simone\O02b2m_2_comb.Por							
Software version : 1.03B-3							
Date : 21/06/17							
* * * Sample information	* * *						
Company Name : 	FISONS Instruments						
Operator : 	AB						
Date : 	03-15-2017						
Sample name : 	O02B2m_2						
Preparation : 	secco all'aria						
Sample mass (g) : 	1.185						
Sample density (g) : 	1.3						
Mercury height (mm) : 	64.5						
Vol. at run (mm3) : 	259						
Weight dilatometer+mercury+sample (g) : 	256.29						
Weight dil.+mercury+sample correct(g) : 	0						
Capillary mercury height (mm) : 	36.641						
Bulk D.calc. at 250 (kPa)-->Vol.(mm3): 	36.5166						
							
* * * Acquisition parameters	* * *						
Max pressure : 	2000						
Pump speed increase : 	1						
Pump speed decrease : 	1						
Pump speed inc. compensation : 	Pascal						
Pump speed dec. compensation : 	Pascal						
Dilatometer number : 	1						
Dilatometer type : 	Normal						
							
* * * Calculation parameters	* * *						
Conctact angle (Deg) : 	141.3						
Hg surface tension (Dyne/cm) : 	480						
Hg density (g/cm3) : 	13.5438						
Temperature Hg (°C): 	21						
Pores model : 	Cylindrical						
Sample volume correction : 	Yes						
Region start : 	0						
Region stop : 	1000						
Region number of intervals : 	50						
Pores average mode : 	Range						
Particle size distribution : 	No						
Kp factor : 	11.7003						
Cut off radius : 	0-0						
							
* * * Blank parameters	* * *						
Blank data file path : 	C:\POROSDIR\Pascal_2012\SIMONE_TESI\Poros_2000\Dil8new.por						
Blank name instrument : 	Porosimeter 2000						
Num. of blank data points increase : 	293						
Num. of blank data points decrease : 	103						
Filling volume (mm3) : 	459 (from blank file)						
Weight dilatometer (g) : 	43.759 (from blank file)						
Weight dilatometer+Hg (g) : 	263.03 (from blank file)						
Capillary radius (mm) : 	1.5 (from blank file)						
Dilatometer cone height (mm) : 	28 (from blank file)						
Hg density blank (g/cm3) : 	13.5438 (from blank file)						
Temperature Hg (°C): 	21						
							
							
R E S U L T S							
Total cumulative volume (mm3/g) : 	168.3544006						
Total specific surface area (m²/g) : 	4.322999954						
Average pore radius (Micron) : 	0.2795340121						
Total  porosity (%) : 	34.0945015						
Bulk density  (g/cm3) : 	2.025160074						
Bulk density (g/cm3) at 250 (kPa) : 	2.159960032						
Apparent density (g/cm3) : 	3.072829962						
