Instrument type : Porosimeter 2000							
Sample name : O02B2m							
Filename : C:\POROSDIR\Pascal_2012\SIMONE_TESI\Combi_Simone\O02b2m_comb.Por							
Software version : 1.03B-3							
Date : 21/06/17							
* * * Sample information	* * *						
Company Name : 	Fisons Instruments SpA						
Operator : 	AB						
Date : 	13/03/2017						
Sample name : 	O02B2m						
Preparation : 	secco all'aria						
Sample mass (g) : 	1.111						
Sample density (g) : 	1.3						
Mercury height (mm) : 	61.387						
Vol. at run (mm3) : 	236						
Weight dilatometer+mercury+sample (g) : 	237.55						
Weight dil.+mercury+sample correct(g) : 	0						
Capillary mercury height (mm) : 	33.387						
Bulk D.calc. at 250 (kPa)-->Vol.(mm3): 	93.9584						
							
* * * Acquisition parameters	* * *						
Max pressure : 	2000						
Pump speed increase : 	2						
Pump speed decrease : 	1						
Pump speed inc. compensation : 	Pascal						
Pump speed dec. compensation : 	Pascal						
Dilatometer number : 	1						
Dilatometer type : 	Normal						
							
* * * Calculation parameters	* * *						
Conctact angle (Deg) : 	141.3						
Hg surface tension (Dyne/cm) : 	480						
Hg density (g/cm3) : 	13.5438						
Temperature Hg (°C): 	21						
Pores model : 	Cylindrical						
Sample volume correction : 	No						
Region start : 	0						
Region stop : 	10000000						
Region number of intervals : 	50						
Pores average mode : 	Range						
Particle size distribution : 	Yes						
Kp factor : 	11.7003						
Cut off radius : 	.001-10						
							
* * * Blank parameters	* * *						
Blank data file path : 	C:\POROSDIR\Pascal_2012\SIMONE_TESI\Poros_2000\Dil1new.por						
Blank name instrument : 	Porosimeter 2000						
Num. of blank data points increase : 	199						
Num. of blank data points decrease : 	157						
Filling volume (mm3) : 	458 (from blank file)						
Weight dilatometer (g) : 	42.215 (from blank file)						
Weight dilatometer+Hg (g) : 	245.15 (from blank file)						
Capillary radius (mm) : 	1.5 (from blank file)						
Dilatometer cone height (mm) : 	28 (from blank file)						
Hg density blank (g/cm3) : 	13.5438 (from blank file)						
Temperature Hg (°C): 	21						
							
							
R E S U L T S							
Total cumulative volume (mm3/g) : 	247.344696						
Total specific surface area (m²/g) : 	6.217000008						
Average pore radius (Micron) : 	29.3681736						
Total  porosity (%) : 	42.72570038						
Bulk density  (g/cm3) : 	1.727380037						
Bulk density (g/cm3) at 250 (kPa) : 	2.022890091						
Apparent density (g/cm3) : 	3.015969992						
Cut-Off radius range (Micron) :  : -------	.001-10						
Total pore volume (mm3/g) : 	0						
Pore specific surface area (m²/g) : 	0						
Cumulative volume [Cut-Off] (mm3/g) : 	247.344696						
							
P O R E   S I Z E   D I S T R I B U T I O N (custom ranges)							
Pore radius ranges	Specific Volume	Relative Volume	Relative Volume				
(µM)	(mm3/g)	(mm3/g)	(%)				
10000-1000	0.000	0.000	0.000				
1000-100	0.000	0.000	0.000				
100-10	69.220	69.220	27.980				
10-1	111.700	42.480	17.180				
1-.1	198.650	86.950	35.150				
.1-.01	239.150	40.500	16.380				
.01-.001	247.340	8.190	3.310				
							
P A R T I C L E   S I Z E   D I S T R I B U T I O N							
Particle diameter range	Cum. Distr. Vol.	Rel. Distr. Vol.	Cumulative Area				
(µM)	(%)	(%)	(m²/g)				
15-10	6.920	6.920	0.024				
10-8	11.520	4.600	0.046				
8-5	21.830	10.310	0.116				
5-3.5	30.470	8.640	0.205				
3.5-2.5	38.000	7.530	0.313				
2.5-1.85	44.920	6.920	0.448				
1.85-1.5	49.120	4.190	0.555				
1.5-1.2	52.800	3.690	0.671				
1.2-1.05	54.670	1.870	0.740				
1.05-.9	57.150	2.480	0.847				
.9-.75	59.730	2.580	0.978				
.75-.6	62.410	2.680	1.146				
.6-.5	64.330	1.920	1.293				
.5-.35	67.760	3.440	1.637				
.35-.25	70.590	2.830	2.042				
.25-.2	72.360	1.770	2.373				
