Instrument type : Porosimeter 2000							
Sample name : O02C2m							
Filename : C:\POROSDIR\Pascal_2012\SIMONE_TESI\Combi_Simone\O02c2m_comb.Por							
Software version : 1.03B-3							
Date : 21/06/17							
* * * Sample information	* * *						
Company Name : 	Fisons Instruments SpA						
Operator : 	AB						
Date : 	08/03/2017						
Sample name : 	O02C2m						
Preparation : 	secco all'aria						
Sample mass (g) : 	.994						
Sample density (g) : 	1.3						
Mercury height (mm) : 	60.397						
Vol. at run (mm3) : 	229						
Weight dilatometer+mercury+sample (g) : 	238.96						
Weight dil.+mercury+sample correct(g) : 	0						
Capillary mercury height (mm) : 	32.397						
Bulk D.calc. at 250 (kPa)-->Vol.(mm3): 	41.1486						
							
* * * Acquisition parameters	* * *						
Max pressure : 	2000						
Pump speed increase : 	2						
Pump speed decrease : 	1						
Pump speed inc. compensation : 	Pascal						
Pump speed dec. compensation : 	Pascal						
Dilatometer number : 	1						
Dilatometer type : 	Normal						
							
* * * Calculation parameters	* * *						
Conctact angle (Deg) : 	141.3						
Hg surface tension (Dyne/cm) : 	480						
Hg density (g/cm3) : 	13.5438						
Temperature Hg (°C): 	21						
Pores model : 	Cylindrical						
Sample volume correction : 	No						
Region start : 	0						
Region stop : 	10000000						
Region number of intervals : 	50						
Pores average mode : 	Range						
Particle size distribution : 	Yes						
Kp factor : 	11.7003						
Cut off radius : 	.001-10						
							
* * * Blank parameters	* * *						
Blank data file path : 	C:\POROSDIR\Pascal_2012\SIMONE_TESI\Poros_2000\Dil1new.por						
Blank name instrument : 	Porosimeter 2000						
Num. of blank data points increase : 	199						
Num. of blank data points decrease : 	157						
Filling volume (mm3) : 	458 (from blank file)						
Weight dilatometer (g) : 	42.215 (from blank file)						
Weight dilatometer+Hg (g) : 	245.15 (from blank file)						
Capillary radius (mm) : 	1.5 (from blank file)						
Dilatometer cone height (mm) : 	28 (from blank file)						
Hg density blank (g/cm3) : 	13.5438 (from blank file)						
Temperature Hg (°C): 	21						
							
							
R E S U L T S							
Total cumulative volume (mm3/g) : 	223.4405975						
Total specific surface area (m²/g) : 	6.964000225						
Average pore radius (Micron) : 	0.5283100009						
Total  porosity (%) : 	41.87200165						
Bulk density  (g/cm3) : 	1.873960018						
Bulk density (g/cm3) at 250 (kPa) : 	2.031569958						
Apparent density (g/cm3) : 	3.223860025						
Cut-Off radius range (Micron) :  : -------	.001-10						
Total pore volume (mm3/g) : 	0						
Pore specific surface area (m²/g) : 	0						
Cumulative volume [Cut-Off] (mm3/g) : 	223.4405975						
							
P O R E   S I Z E   D I S T R I B U T I O N (custom ranges)							
Pore radius ranges	Specific Volume	Relative Volume	Relative Volume				
(µM)	(mm3/g)	(mm3/g)	(%)				
10000-1000	0.000	0.000	0.000				
1000-100	0.000	0.000	0.000				
100-10	34.510	34.510	15.440				
10-1	55.530	21.030	9.410				
1-.1	171.830	116.300	52.050				
.1-.01	213.980	42.150	18.870				
.01-.001	223.440	9.460	4.230				
							
P A R T I C L E   S I Z E   D I S T R I B U T I O N							
Particle diameter range	Cum. Distr. Vol.	Rel. Distr. Vol.	Cumulative Area				
(µM)	(%)	(%)	(m²/g)				
15-10	6.120	6.120	0.023				
10-8	11.820	5.700	0.052				
8-5	28.860	17.040	0.174				
5-3.5	41.800	12.940	0.314				
3.5-2.5	50.590	8.790	0.446				
2.5-1.85	57.030	6.440	0.579				
1.85-1.5	60.810	3.780	0.680				
1.5-1.2	64.270	3.460	0.796				
1.2-1.05	65.920	1.650	0.862				
1.05-.9	68.210	2.290	0.969				
.9-.75	70.290	2.080	1.082				
.75-.6	72.790	2.500	1.247				
.6-.5	74.920	2.130	1.419				
.5-.35	78.220	3.300	1.770				
.35-.25	80.670	2.450	2.144				
.25-.2	82.590	1.920	2.525				
.2-.15	85.200	2.610	3.195				
.15-.1	87.700	2.500	4.109				
.1-.08	88.600	0.910	4.582				
.08-.05	90.680	2.080	6.088				
.05-.02	91.590	0.910	6.948				
.02-.01	91.590	0.000	6.948				
.01-0	91.590	0.000	6.948				
							
D A T A   R E P O R T							
Pressure	Volume	Radius	Spec.Vol.	Rel.Vol.			
(MPa)	(mm3)	(µm)	(mm3/g)	(mm3/g)			
0.008	0.000	89.149	0.000	0.000			
0.009	0.100	88.120	0.100	0.100			
0.009	0.200	87.115	0.200	0.100			
0.009	0.400	85.173	0.400	0.200			
0.009	0.500	84.233	0.500	0.100			
0.009	0.600	83.315	0.600	0.100			
0.009	0.800	82.433	0.800	0.200			
0.009	0.900	81.553	0.910	0.100			
0.009	1.100	80.709	1.110	0.200			
0.009	1.300	79.881	1.310	0.200			
0.010	1.400	77.421	1.410	0.100			
0.010	1.600	76.659	1.610	0.200			
0.010	1.800	75.912	1.810	0.200			
0.010	1.900	75.165	1.910	0.100			
0.010	2.000	74.433	2.010	0.100			
0.010	2.100	73.714	2.110	0.100			
0.010	2.200	73.010	2.210	0.100			
0.010	2.300	72.319	2.310	0.100			
0.010	2.600	71.667	2.620	0.300			
0.011	2.800	70.347	2.820	0.200			
0.011	2.900	69.062	2.920	0.100			
0.011	3.100	68.456	3.120	0.200			
