SUBJ;CONDUZIONE;LAVORAZIONE;Pos.sul.Profilo;MICRO.20.MESO.250.MACRO
B.3a.cn.a;OO;Ara;centro;37,11
B.3a.cn.a;OO;Ara;centro;55,3294997091
B.3a.cn.a;OO;Ara;centro;7,5605002909
B.3a.dx.a;OO;Ara;destra;38,44
B.3a.dx.a;OO;Ara;destra;54,4461907548
B.3a.dx.a;OO;Ara;destra;7,1138092452
B.3a.sx.a;OO;Ara;sinistra;38,72
B.3a.sx.a;OO;Ara;sinistra;55,2969689877
B.3a.sx.a;OO;Ara;sinistra;5,9830310123
B.3b.cn.a;OO;Rip;centro;7,54
B.3b.cn.a;OO;Rip;centro;23,767007467
B.3b.cn.a;OO;Rip;centro;68,692992533
B.3b.dx.a;OO;Rip;destra;40,34
B.3b.dx.a;OO;Rip;destra;49,8150771021
B.3b.dx.a;OO;Rip;destra;9,8449228979
B.3b.sx.a;OO;Rip;sinistra;35,78
B.3b.sx.a;OO;Rip;sinistra;54,1008832074
B.3b.sx.a;OO;Rip;sinistra;10,1191167926
B.3c.cn.a;OO;Fzo;centro;36,55
B.3c.cn.a;OO;Fzo;centro;57,4476723887
B.3c.cn.a;OO;Fzo;centro;6,0023276113
B.3c.dx.a;OO;Fzo;destra;34,46
B.3c.dx.a;OO;Fzo;destra;49,877677382
B.3c.dx.a;OO;Fzo;destra;15,662322618
B.3c.sx.a;OO;Fzo;sinistra;36,03
B.3c.sx.a;OO;Fzo;sinistra;55,2544276583
B.3c.sx.a;OO;Fzo;sinistra;8,7155723417
C.Pa.cn.a;CO;Ara;centro;30,46
C.Pa.cn.a;CO;Ara;centro;56,5131601732
C.Pa.cn.a;CO;Ara;centro;13,0268398268
C.Pa.dx.a;CO;Ara;destra;38,48
C.Pa.dx.a;CO;Ara;destra;50,9501417414
C.Pa.dx.a;CO;Ara;destra;10,5698582586
C.Pa.sx.a;CO;Ara;sinistra;36,62
C.Pa.sx.a;CO;Ara;sinistra;52,460338884
C.Pa.sx.a;CO;Ara;sinistra;10,919661116
C.Pb.cn.a;CO;Rip;centro;26,98
C.Pb.cn.a;CO;Rip;centro;65,1450364325
C.Pb.cn.a;CO;Rip;centro;7,8749635675
C.Pb.dx.a;CO;Rip;destra;36,96
C.Pb.dx.a;CO;Rip;destra;53,3960011625
C.Pb.dx.a;CO;Rip;destra;9,6439988375
C.Pb.sx.a;CO;Rip;sinistra;33,5
C.Pb.sx.a;CO;Rip;sinistra;46,4947368421
C.Pb.sx.a;CO;Rip;sinistra;20,0052631579
C.Pc.cn.a;CO;Fzo;centro;31,02
C.Pc.cn.a;CO;Fzo;centro;45,9662475442
C.Pc.cn.a;CO;Fzo;centro;23,0137524558
C.Pc.dx.a;CO;Fzo;destra;34,97
C.Pc.dx.a;CO;Fzo;destra;52,0714914494
C.Pc.dx.a;CO;Fzo;destra;12,9585085506
C.Pc.sx.a;CO;Fzo;sinistra;33,93
C.Pc.sx.a;CO;Fzo;sinistra;54,5051958525
C.Pc.sx.a;CO;Fzo;sinistra;11,5648041475
